"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ACCT115","FUND OF FINANCIAL ACCOUNTING","002","10001","MW","1:00 PM - 2:20 PM","KUPF 108","Closed","43","43","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10001",""
"202310","ACCT115","FUND OF FINANCIAL ACCOUNTING","004","10002","MR","10:00 AM - 11:20 AM","KUPF 105","Closed","43","43","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10002",""
"202310","ACCT115","FUND OF FINANCIAL ACCOUNTING","CHS","16387","","TBA"," ","Closed","0","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16387","For Woodbridge Township School District Students Only"
"202310","ACCT115","FUND OF FINANCIAL ACCOUNTING","TEE","16388","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16388","For Thomas Edison EnergySmart Charter School Students Only"
"202310","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","002","10003","WF","10:00 AM - 11:20 AM","KUPF 202","Closed","43","43","Saint Fort, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10003",""
"202310","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","102","10004","W","6:00 PM - 8:50 PM","KUPF 207","Closed","43","43","Saint Fort, Patrick","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10004",""
"202310","ACCT215","MANAGERIAL ACCOUNTING I","002","10005","MW","1:00 PM - 2:20 PM","KUPF 103","Open","43","42","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10005",""
"202310","ACCT215","MANAGERIAL ACCOUNTING I","004","10006","TR","1:00 PM - 2:20 PM","KUPF 206","Closed","43","43","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10006",""
"202310","ACCT215","MANAGERIAL ACCOUNTING I","102","10007","W","6:00 PM - 8:50 PM","KUPF 206","Open","43","29","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10007",""
"202310","ACCT335","MANAGERIAL ACCOUNTING II","102","10008","M","6:00 PM - 8:50 PM","KUPF 117","Open","43","14","Micale, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10008",""
"202310","ACCT403","FINANCIAL STATEMENT ANALYSIS","002","10009","MR","10:00 AM - 11:20 AM","KUPF 203","Open","20","5","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10009",""
"202310","ACCT435","INTERMEDIATE ACCOUNTING II","102","10010","W","6:00 PM - 8:50 PM","KUPF 202","Open","43","14","Tang, Qian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10010",""
"202310","ACCT490","INDEPENDENT STUDY IN ACCT","887","10011","","TBA"," ","Open","19","4","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10011","See department for permission to enroll."
"202310","ACCT615","MANAGEMENT ACCOUNTING","002","10012","T","2:30 PM - 5:20 PM","KUPF 105","Closed","43","43","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10012",""
"202310","ACCT615","MANAGEMENT ACCOUNTING","852","10013","","TBA"," ","Open","30","22","Micale, Joseph","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10013","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","ACCT615","MANAGEMENT ACCOUNTING","854","10014","","TBA"," ","Closed","30","30","Seda, Wilson","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10014","Restricted to Newark Campus Students Only<br />Online Course"
