"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","002","10015","R","8:30 AM - 11:20 AM"," ","Closed","25","26","Brothers, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10015",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","002","10015","T","8:30 AM - 11:20 AM"," ","Closed","25","26","Brothers, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10015",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","004","10016","R","8:30 AM - 11:20 AM"," ","Open","25","23","Elkwisni, Eman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10016",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","004","10016","T","8:30 AM - 11:20 AM"," ","Open","25","23","Elkwisni, Eman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10016",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","006","10017","M","1:00 PM - 3:50 PM"," ","Open","25","23","Mead, Kiel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10017",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","006","10017","R","1:00 PM - 3:50 PM"," ","Open","25","23","Mead, Kiel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10017",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","008","16355","M","1:00 PM - 3:50 PM"," ","Closed","25","25","Conklin, Donna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16355",""
"202310","AD111","COMM IN ART+ DES - TRAD MEDIA","008","16355","R","1:00 PM - 3:50 PM"," ","Closed","25","25","Conklin, Donna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16355",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","002","10018","R","8:30 AM - 11:20 AM","CAMP 236H","Open","18","16","Szabla, Natalia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10018",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","002","10018","T","8:30 AM - 11:20 AM","CAMP 236H","Open","18","16","Szabla, Natalia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10018",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","004","10019","M","1:00 PM - 3:50 PM","CAMP 236H","Closed","15","15","Nelson, Monica","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10019",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","004","10019","R","1:00 PM - 3:50 PM","CAMP 236H","Closed","15","15","Nelson, Monica","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10019",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","006","10020","M","1:00 PM - 3:50 PM","CAMP 236E","Closed","18","18","Kum-Biocca, Hye Jin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10020",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","006","10020","R","1:00 PM - 3:50 PM","CAMP 236E","Closed","18","18","Kum-Biocca, Hye Jin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10020",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","008","10021","R","8:30 AM - 11:20 AM","CAMP 236E","Open","18","16","Kum-Biocca, Hye Jin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10021",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","008","10021","T","8:30 AM - 11:20 AM","CAMP 236E","Open","18","16","Kum-Biocca, Hye Jin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10021",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","010","16218","M","1:00 PM - 3:50 PM"," ","Open","18","16","Szabla, Natalia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16218",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","010","16218","R","1:00 PM - 3:50 PM"," ","Open","18","16","Szabla, Natalia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16218",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","012","16219","R","8:30 AM - 11:20 AM"," ","Open","15","14","Sobers, Sophia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16219",""
"202310","AD112","COMM IN ART & DES-DIGTL MEDIA","012","16219","T","8:30 AM - 11:20 AM"," ","Open","15","14","Sobers, Sophia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16219",""
"202310","AD150","COLOR AND COMPOSITION","002","16122","W","10:45 AM - 12:40 PM","WEST LECT 2","Closed","18","18","Cays, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16122",""
"202310","AD150","COLOR AND COMPOSITION","002","16122","W","8:30 AM - 10:25 AM","WEST LECT 2","Closed","18","18","Cays, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16122",""
"202310","AD162","HISTORY OF ART AND DESIGN II","002","10022","MW","11:30 AM - 12:50 PM","KUPF 210","Closed","85","85","Altin, Ersin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10022",""
"202310","AD201","HUMAN FACTORS/ERGONOMICS","002","16084","F","8:30 AM - 9:50 AM","CKB 126","Closed","25","25","Schwartz, Mathew","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16084","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","AD201","HUMAN FACTORS/ERGONOMICS","002","16084","","TBA"," ","Closed","25","25","Schwartz, Mathew","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16084","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","AD490","ST: DESIGN INNOVATION","002","10023","TR","8:30 AM - 9:50 AM"," ","Open","18","14","Schwartz, Mathew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10023","This course meets in the Idea Factory."
"202310","AD490","ST: DESIGNING NARRATIVES","004","16085","MW","10:00 AM - 11:20 AM","WEST 210","Closed","15","15","Kopp, Ronald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16085",""
"202310","AD493","INDEPENDENT STUDY","013","10024","","TBA"," ","Open","19","0","Cays, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10024","See department for permission to enroll."
