"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","BDS725","INDEPENDENT STUDY I","613","10179","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10179","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","870","10180","","TBA"," ","Open","19","0","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10180","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","872","10181","","TBA"," ","Open","19","0","Lawrence, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10181","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","874","10182","","TBA"," ","Open","19","0","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10182","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","879","10183","","TBA"," ","Open","19","0","Sylla, Cheickna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10183","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","881","10184","","TBA"," ","Open","19","0","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10184","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","882","10185","","TBA"," ","Open","19","0","Roy, Raja","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10185","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","885","10186","","TBA"," ","Open","19","1","Bandera, Cesar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10186","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","886","10187","","TBA"," ","Open","19","0","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10187","See department for permission to enroll."
"202310","BDS725","INDEPENDENT STUDY I","889","10188","","TBA"," ","Open","19","0","Anandarajan, Asokan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10188","See department for permission to enroll."
