"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","BIOL150","LIVING IN A VARIABLE UNIVERSE","002","10219","R","2:30 PM - 5:20 PM","CKB 326","Open","24","11","Russell, Gareth","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10219",""
"202310","BIOL150","LIVING IN A VARIABLE UNIVERSE","002","10219","TR","11:30 AM - 12:50 PM","KUPF 209","Open","24","11","Russell, Gareth","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10219",""
"202310","BIOL150","LIVING IN A VARIABLE UNIVERSE","004","10220","F","1:00 PM - 3:50 PM","CKB 326","Open","24","9","Fortune, Eric","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10220",""
"202310","BIOL150","LIVING IN A VARIABLE UNIVERSE","004","10220","TR","11:30 AM - 12:50 PM","KUPF 209","Open","24","9","Fortune, Eric","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10220",""
"202310","BIOL200","CONCEPTS IN BIOLOGY","002","10221","MW","11:30 AM - 12:50 PM","CKB G-08","Closed","25","26","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10221",""
"202310","BIOL200","CONCEPTS IN BIOLOGY","002","10221","R","8:30 AM - 9:50 AM","CKB 341","Closed","25","26","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10221",""
"202310","BIOL200","CONCEPTS IN BIOLOGY","004","10222","MW","11:30 AM - 12:50 PM","CKB G-08","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10222",""
"202310","BIOL200","CONCEPTS IN BIOLOGY","004","10222","R","10:00 AM - 11:20 AM","CKB 114","Closed","25","25","Stanko, Maria","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10222",""
"202310","BIOL201","FOUND OF BIOL: CELL & MOLECULA","002","10223","MR","1:00 PM - 2:20 PM","GITC 1400","Open","96","60","Konsolaki, Mary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10223","Students must also register for BIOL 202 - LAB"
"202310","BIOL202","FOUND OF BIOL: CELL & MOLECULA","002","10224","F","8:30 AM - 11:20 AM","CKB 326","Open","24","7","Harreguy Alfonso, Maria Belen","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10224","Students must register for BIOL 201 - Lecture"
"202310","BIOL202","FOUND OF BIOL: CELL & MOLECULA","004","10225","M","10:00 AM - 12:50 PM","CKB 326","Open","24","22","Harreguy Alfonso, Maria Belen","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10225","Students must register for BIOL 201 - Lecture"
"202310","BIOL202","FOUND OF BIOL: CELL & MOLECULA","006","10226","T","1:00 PM - 3:50 PM","CKB 326","Open","24","13","Sena, Anthony","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10226","Students must register for BIOL 201 - Lecture"
"202310","BIOL202","FOUND OF BIOL: CELL & MOLECULA","102","10227","M","6:00 PM - 8:50 PM","CKB 326","Open","24","7","Sena, Anthony","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10227","Students must register for BIOL 201 - Lecture"
"202310","BIOL205","FOUND OF BIO:ECOL & EVOL I","002","10228","TF","2:30 PM - 3:50 PM","KUPF 209","Open","60","53","Devan, Caroline","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10228","Students must also register for BIOL 206 - LAB"
"202310","BIOL205","FOUND OF BIO:ECOL & EVOL I - HONORS","H02","10229","TF","2:30 PM - 3:50 PM","TIER 111","Open","36","34","Barden, Phillip","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10229","Honors Course<br />Students must register for BIOL 206 - LAB"
"202310","BIOL206","FOUND OF BIO:ECOL & EVOL LAB","002","10230","R","8:30 AM - 11:20 AM","CKB 328","Open","24","23","Botta, William","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10230","Students must register for BIOL 205 - Lecture"
"202310","BIOL206","FOUND OF BIO:ECOL & EVOL LAB","004","10231","R","2:30 PM - 5:20 PM","CKB 328","Open","24","23","Bowers, Grant","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10231","Students must register for BIOL 205 - Lecture"
"202310","BIOL206","FOUND OF BIO:ECOL & EVOL LAB","006","10232","M","8:30 AM - 11:20 AM","CKB 328","Open","24","21","Botta, William","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10232","Students must register for BIOL 205 - Lecture"
"202310","BIOL206","FOUND OF BIO:ECOL & EVOL LAB","102","10233","R","6:00 PM - 8:50 PM","CKB 328","Open","24","23","Bowers, Grant","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10233","Students must register for BIOL 205 - Lecture"
"202310","BIOL222","EVOLUTION","002","10234","TR","10:00 AM - 11:20 AM","CKB G-08","Closed","20","75","Bunker, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10234",""
"202310","BIOL222","EVOLUTION","004","10235","TR","2:30 PM - 3:50 PM","CKB G-08","Closed","20","54","Bunker, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10235",""
"202310","BIOL310","WORK EXPERIENCE I","745","10236","","TBA"," ","Open","19","6","Roach, Karen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10236","See department for permission to enroll."
"202310","BIOL315","PRINCIPLES OF NEUROBIOLOGY","002","10237","TR","10:00 AM - 11:20 AM","KUPF 209","Closed","20","30","Golowasch, Jorge","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10237",""
"202310","BIOL315","PRINCIPLES OF NEUROBIOLOGY","004","16352","TR","10:00 AM - 11:20 AM","CKB 212","Closed","20","28","Severi, Kristen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16352",""
