"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","BME101","INTRO TO BIOMED ENGR","102","10473","T","6:00 PM - 8:50 PM","GITC 1400","Open","110","72","Erdi, Alev","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10473",""
"202310","BME111","INTRODUCTION TO PHYSIOLOGY","002","10474","TR","1:00 PM - 2:20 PM","KUPF 205","Open","50","45","Aqeel, Abdullah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10474",""
"202310","BME111","INTRODUCTION TO PHYSIOLOGY - HONORS","H02","10475","R","2:30 PM - 3:50 PM","CKB 310","Open","15","12","Aqeel, Abdullah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10475","Honors Course"
"202310","BME111","INTRODUCTION TO PHYSIOLOGY - HONORS","H02","10475","T","2:30 PM - 3:50 PM","CKB 313","Open","15","12","Aqeel, Abdullah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10475","Honors Course"
"202310","BME210","PROCESSING FUND FOR BIOL SIGNA","002","10476","F","2:30 PM - 5:20 PM","FENS 636","Open","25","17","Kallioniemi, Elisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10476",""
"202310","BME210","PROCESSING FUND FOR BIOL SIGNA","004","10477","W","10:00 AM - 12:50 PM","FENS 636","Open","25","24","Sangoi, Ayushi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10477",""
"202310","BME301","INTRO BIOMEDICAL ENGINEERING I","002","10478","M","10:00 AM - 12:50 PM","FENS 640","Open","50","40","Sahin, Mesut","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10478",""
"202310","BME301","INTRO BIOMEDICAL ENGINEERING I","002","10478","M","8:30 AM - 9:30 AM","KUPF 209","Open","50","40","Sahin, Mesut","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10478",""
"202310","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM2","10479","M","10:00 AM - 12:50 PM","FENS 640","Open","10","1","Sahin, Mesut","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10479","Honors Course"
"202310","BME301","INTRO BIOMEDICAL ENGINEERING I - HONORS","HM2","10479","M","8:30 AM - 9:30 AM","KUPF 209","Open","10","1","Sahin, Mesut","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=10479","Honors Course"
