"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","CET314","CONSTRUCTION PROCEDURES II","002","11048","TR","11:30 AM - 12:50 PM","FMH 321","Closed","30","30","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11048",""
"202310","CET314","CONSTRUCTION PROCEDURES II","102","11049","W","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11049","Cancelled 01/10/23"
"202310","CET323","CONSTRUCTION SAFETY","002","11050","TR","8:30 AM - 9:50 AM","CKB 114","Open","30","17","Gottko, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11050",""
"202310","CET323","CONSTRUCTION SAFETY","102","11051","T","6:00 PM - 8:50 PM","FMH 309","Open","30","19","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11051",""
"202310","CET341","SOILS AND EARTHWORK","102","11052","T","6:00 PM - 8:50 PM"," ","Cancelled","28","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11052","Cancelled 01/10/23"
"202310","CET413","ENVIRONMENTAL SCIENCE","002","11053","TF","4:00 PM - 5:20 PM","FMH 209","Open","25","19","Borgaonkar, Ashish","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11053",""
"202310","CET413","ENVIRONMENTAL SCIENCE","102","11054","F","6:00 PM - 8:50 PM","CKB 220","Closed","25","25","McCall, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11054",""
"202310","CET416","SENIOR CONSTRUCTION PROJ","002","11055","TF","2:30 PM - 3:50 PM"," ","Cancelled","25","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11055","Cancelled 11/2/22"
"202310","CET416","SENIOR CONSTRUCTION PROJ","004","16284","TF","2:30 PM - 3:50 PM","FMH 313","Open","25","10","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16284",""
"202310","CET416","SENIOR CONSTRUCTION PROJ","102","11056","R","6:00 PM - 8:50 PM","CKB 330","Open","25","21","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11056",""
"202310","CET421","CONSTRUCTION CONTRACTS","002","11057","TF","1:00 PM - 2:20 PM","FMH 209","Open","30","13","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11057",""
"202310","CET421","CONSTRUCTION CONTRACTS","102","11058","W","6:00 PM - 8:50 PM","FMH 321","Open","30","24","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11058",""
"202310","CET435","DGN OF TEMPRY STRS CNSTN","002","11059","TF","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11059","Cancelled 01/10/23"
"202310","CET435","DGN OF TEMPRY STRS CNSTN","102","11060","M","6:00 PM - 8:50 PM","FMH 205","Open","30","20","Porcello, Zachary","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11060",""
"202310","CET490","SPECIAL PROJECT","352","11061","","TBA"," ","Open","19","3","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11061","See department for permission to enroll."
"202310","CET491","SPECIAL PROJECTS","352","11062","","TBA"," ","Closed","0","0","Wiggins, John","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11062",""
"202310","CET492","SPECIAL PROJECTS","352","11063","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11063","See department for permission to enroll."
"202310","CET493","SPECIAL PROJECTS","352","11064","","TBA"," ","Closed","0","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11064",""
"202310","CET497","CO-OP INTERNSHIP","352","11065","","TBA"," ","Open","19","0","Wiggins, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11065","See department for permission to enroll."
