"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","CIMT101","INTRO TO THE CONCRETE INDUSTRY","102","11801","M","6:00 PM - 8:50 PM","CKB 220","Open","25","19","Saleeb, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11801",""
"202310","CIMT205","CONCRETE PROPERTIES & TESTING","102","11802","R","6:00 PM - 7:55 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11802","Cancelled 01/10/23"
"202310","CIMT205","CONCRETE PROPERTIES & TESTING","102","11802","R","8:05 PM - 10:00 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11802","Cancelled 01/10/23"
"202310","CIMT210","CONCRETE APPLICATIONS I","102","11803","T","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11803","Cancelled 01/10/23"
"202310","CIMT305","CONCRETE APPLICATIONS II","102","11804","M","6:00 PM - 8:50 PM","CKB 330","Open","25","7","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11804",""
"202310","CIMT310","CONCRETE PRODUCTS AND DELIVERY","102","11805","W","6:00 PM - 8:50 PM","CKB 317","Open","25","6","Arocha, Ricardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11805",""
"202310","CIMT315","CONCRETE CONSTRUCTION METHODS","102","11806","R","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11806","Cancelled 01/10/23"
"202310","CIMT405","ADV CONCRETE TESTING QUAL ASSR","102","16420","R","6:00 PM - 7:55 PM","COLT 121","Open","24","11","Saleeb, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16420",""
"202310","CIMT405","ADV CONCRETE TESTING QUAL ASSR","102","16420","R","8:05 PM - 10:00 PM","CKB 126","Open","24","11","Saleeb, Mina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16420",""
"202310","CIMT410","SENIOR PROJECT IN CIM","102","11807","F","6:00 PM - 8:50 PM","FMH 108","Closed","0","10","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11807",""
"202310","CIMT491","SPECIAL PROJECT IN CIM","344","11808","","TBA"," ","Closed","0","1","Mahgoub, Mohamed","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11808","Department Permission Required"
"202310","CIMT492","SPECIAL PROJECT IN CIM","344","11809","","TBA"," ","Closed","0","1","Mahgoub, Mohamed","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11809","Department Permission Required"
"202310","CIMT493","INDEPENDENT STUDY","344","11810","","TBA"," ","Open","19","1","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11810","See department for permission to enroll."
"202310","CIMT497","COOP WORK EXPERIENCE I","344","11811","","TBA"," ","Open","19","4","Mahgoub, Mohamed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11811","See department for permission to enroll."
