"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","COM310","INTERPERSONAL COMMUNICATION","002","11814","TR","10:00 AM - 11:20 AM","FMH 307","Closed","20","20","Sun, Yao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11814",""
"202310","COM312","ORAL PRESENTATION","002","11815","TR","2:30 PM - 3:50 PM","FMH 404","Closed","24","24","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11815",""
"202310","COM312","ORAL PRESENTATION","004","11816","TR","1:00 PM - 2:20 PM","CKB 106","Closed","24","24","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11816",""
"202310","COM312","ORAL PRESENTATION","006","11817","TR","2:30 PM - 3:50 PM","FMH 413","Closed","24","24","Castronova, Louise","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11817",""
"202310","COM312","ORAL PRESENTATION","008","11818","TR","11:30 AM - 12:50 PM","CKB 320","Closed","24","25","Castronova, Louise","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11818",""
"202310","COM312","ORAL PRESENTATION","010","11819","TR","11:30 AM - 12:50 PM","TIER 107","Closed","24","24","Johnson, Carol","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11819",""
"202310","COM312","ORAL PRESENTATION","012","11820","TR","4:00 PM - 5:20 PM","CKB 106","Closed","24","24","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11820",""
"202310","COM312","ORAL PRESENTATION","014","11821","MW","1:00 PM - 2:20 PM","FMH 412","Closed","24","24","Porter, Patricia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11821",""
"202310","COM312","ORAL PRESENTATION","016","11822","MW","1:00 PM - 2:20 PM","FMH 205","Closed","24","24","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11822",""
"202310","COM312","ORAL PRESENTATION","018","11823","MW","10:00 AM - 11:20 AM","TIER 112","Closed","24","24","Porter, Patricia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11823",""
