"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","CPT310","COMPUTER DESIGN FUNDAMENTALS","102","15719","M","6:00 PM - 9:05 PM","FENS 156","Closed","20","20","Lubliner, David","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15719","Hybrid Course<br />See syllabus for meetings held remotely.<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","CPT315","COMPUTER ARCHITECTURE","102","11857","T","6:00 PM - 10:05 PM","MALL PC39","Closed","25","25","Reaves, Jeffrey","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11857",""
"202310","CPT325","MEDICAL INFORMATICS TECHNOLOGY","102","11858","S","9:00 AM - 11:50 AM","MALL PC40","Closed","25","28","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11858",""
"202310","CPT330","SOFTWARE WEB APPLICATIONS I","102","11859","F","6:00 PM - 10:05 PM","MALL PC40","Closed","18","19","Aslam, Ersal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11859",""
"202310","CPT335","NETWORK APPLICATIONS I","102","11860","R","6:00 PM - 10:05 PM","MALL PC37","Closed","16","16","Patel, Narendra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11860",""
"202310","CPT341","VISUAL BASIC .NET","102","11861","R","6:00 PM - 10:05 PM","GITC 2302","Closed","20","21","Tereshkovich, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11861",""
"202310","CPT373","WEB APP DEVELOPMENT FOR MOBILE","102","11862","W","6:00 PM - 10:05 PM","MALL PC39","Closed","25","25","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11862",""
"202310","CPT395","COOP WORK EXPERIENCE I","358","11863","","TBA"," ","Open","19","1","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11863","See department for permission to enroll."
"202310","CPT401","SENIOR PROJECT","002","11864","M","1:00 PM - 2:55 PM","GITC 2520","Open","20","10","Lubliner, David","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11864","Hybrid Course - See instructor for in-person meeting dates.<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","CPT425","MEDICAL INFORMATICS TECH II","102","11865","R","6:00 PM - 10:05 PM","MALL PC39","Open","25","13","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11865",""
"202310","CPT435","NETWORK APPLICATIONS II","102","11866","M","6:00 PM - 10:05 PM","MALL PC36","Open","25","11","Patel, Tushar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11866",""
