"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","CS100","ROADMAP TO COMPUTING","002","11867","TF","8:30 AM - 9:50 AM","TIER 108","Closed","30","30","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11867","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","004","11868","MR","8:30 AM - 9:50 AM","CKB 106","Closed","30","30","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11868","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","006","11869","MR","2:30 PM - 3:50 PM","CKB 212","Closed","30","30","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11869","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","008","11870","TF","2:30 PM - 3:50 PM","CKB 204","Closed","80","80","Nicholson, Theodore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11870","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","010","11871","TR","4:00 PM - 5:20 PM","KUPF 205","Closed","30","33","Brown, Harold","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11871","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","012","11872","WF","1:00 PM - 2:20 PM","CKB 212","Closed","30","30","Islam, Akm","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11872","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","014","11873","WF","8:30 AM - 9:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11873","Cancelled 12/21/22"
"202310","CS100","ROADMAP TO COMPUTING","016","11874","TF","2:30 PM - 3:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11874","Cancelled 12/05/22"
"202310","CS100","ROADMAP TO COMPUTING","018","11875","TF","10:00 AM - 11:20 AM","CKB 315","Closed","30","30","Qerimaj, Jertishta","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11875","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","102","11876","M","6:00 PM - 8:50 PM","TIER 113","Closed","30","31","Campanella, Ryan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11876","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS100","ROADMAP TO COMPUTING","104","11877","M","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11877","Cancelled 01/03/23"
"202310","CS100","ROADMAP TO COMPUTING","106","11878","M","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11878","Cancelled 01/03/23"
"202310","CS101","COMP PROG & PROB SOLVING","002","11879","MR","10:00 AM - 11:20 AM","CKB 315","Open","30","29","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11879","Students must bring their own device for this section."
"202310","CS101","COMP PROG & PROB SOLVING","004","11880","MR","8:30 AM - 9:50 AM","CKB 223","Open","30","24","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11880","Students must bring their own device for this section."
"202310","CS101","COMP PROG & PROB SOLVING","006","11881","MR","1:00 PM - 2:20 PM","CKB 212","Closed","30","30","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11881","Students must bring their own device for this section."
"202310","CS101","COMP PROG & PROB SOLVING","102","11882","W","6:00 PM - 8:50 PM","CKB 212","Open","30","27","Rutkowski, Wallace","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11882","Students must bring their own device for this section."
"202310","CS103","COMPUT SCI-BUSINESS PROB","002","11883","MW","11:30 AM - 12:50 PM","CKB 212","Closed","30","30","Kunwar, Asif","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11883","Students must bring their own device for this section."
"202310","CS103","COMPUT SCI-BUSINESS PROB","004","11884","TR","10:00 AM - 11:20 AM","CKB 207","Closed","30","31","Yusuf, Fatima","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11884","Students must bring their own device for this section."
"202310","CS104","COMPUT PROG & GRAPH PROB","002","11885","MR","10:00 AM - 11:20 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11885","Cancelled 01/05/23"
"202310","CS104","COMPUT PROG & GRAPH PROB","004","11886","TR","8:30 AM - 9:50 AM","GITC 2400","Open","30","19","Qerimaj, Jertishta","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11886",""
"202310","CS104","COMPUT PROG & GRAPH PROB","102","11887","M","6:00 PM - 8:50 PM","CKB 313","Open","35","33","Eljabiri, Osama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11887","Students must bring their own device for this section."
"202310","CS106","ROADMAP TO COMPUTING FOR ENGR","002","11888","TR","1:00 PM - 2:20 PM","CKB 226","Open","35","34","Yusuf, Fatima","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11888","Students must bring their own device for this section."
"202310","CS106","ROADMAP TO COMPUTING FOR ENGR","102","11889","T","6:00 PM - 8:50 PM","CKB 226","Open","35","20","Joshi, Digant","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11889","Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","002","11890","F","1:00 PM - 2:20 PM","CKB 223","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11890","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","002","11890","T","8:30 AM - 9:50 AM","CKB 217","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11890","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","004","11891","R","11:30 AM - 12:50 PM","CKB 223","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11891","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","004","11891","T","8:30 AM - 9:50 AM","CKB 217","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11891","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","006","11892","M","1:00 PM - 2:20 PM","CKB 223","Open","40","39","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11892","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","006","11892","W","1:00 PM - 2:20 PM","CKB 217","Open","40","39","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11892","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","008","11893","T","10:00 AM - 11:20 AM","CKB 223","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11893","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","008","11893","W","1:00 PM - 2:20 PM","CKB 217","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11893","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","010","11894","R","11:30 AM - 12:50 PM","CKB 317","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11894","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
"202310","CS113","INTRO COMPUTER SCI I","010","11894","R","8:30 AM - 9:50 AM","CKB 217","Closed","40","40","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=11894","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details.<br />Students must bring their own device for this section."
