"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","DD264","DIGITAL DESIGN STUDIO II","002","12344","MR","1:00 PM - 5:20 PM"," ","Closed","5","12","Costello, Ian","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12344",""
"202310","DD264","DIGITAL DESIGN STUDIO II","004","12345","MR","1:00 PM - 5:20 PM"," ","Closed","5","11","Rodrigues, Miguel","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12345",""
"202310","DD301","ACTING FUND FOR ANIMATORS","004","12346","TR","10:00 AM - 11:20 AM","TIER 111","Open","18","16","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12346",""
"202310","DD364","DIGITAL DESIGN STUDIO IV","002","12347","MR","12:00 PM - 5:20 PM","WEST LECT 2","Closed","15","16","Desai, Gayatri","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12347",""
"202310","DD364","DIGITAL DESIGN STUDIO IV","004","12348","MR","12:00 PM - 5:20 PM"," ","Cancelled","12","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12348","Cancelled 01/10/23"
"202310","DD403","DIGITAL SOUND AND MUSIC","102","12349","T","6:00 PM - 8:50 PM","CAMP 236H","Closed","10","18","Miller, Bruce","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12349",""
"202310","DD403","DIGITAL SOUND AND MUSIC","104","16304","W","6:00 PM - 8:50 PM","CAMP 236H","Open","18","10","Miller, Bruce","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16304",""
"202310","DD415","WEB/EXHIBIT DEVELOPMENT","452","12350","","TBA"," ","Open","30","19","Wendell, Augustus","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12350","Online Course"
"202310","DD449","IMAGINARY WORLDS","002","12351","R","10:00 AM - 11:20 AM","WEST LECT 2","Open","50","35","Kopp, Ronald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12351",""
"202310","DD449","IMAGINARY WORLDS","002","12351","R","8:30 AM - 9:50 AM","WEST LECT 2","Open","50","35","Kopp, Ronald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12351",""
"202310","DD464","DIGITAL DESIGN STUDIO III","002","12352","MR","12:00 PM - 5:20 PM"," ","Closed","12","16","Narahara, Taro","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12352",""
"202310","DD464","DIGITAL DESIGN STUDIO III","004","12353","MR","12:00 PM - 5:20 PM"," ","Closed","5","7","Zarzycki, Andrzej","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12353",""
"202310","DD621","CHARACTER AND FACIAL MODELING","852","12354","","TBA"," ","Open","15","7","Rodrigues, Miguel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12354","Restricted to Newark Campus Students Only<br />Online Course"
"202310","DD622","VIS. STORYTELL. & STORYBOARD","852","12355","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12355","Cancelled 12/05/22"
"202310","DD624","DIGITAL AUDIO","852","12356","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12356","Cancelled 01/18/23"
"202310","DD625","ENVIRONMENT DESIGN","852","12357","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12357","Cancelled 01/10/23"
"202310","DD634","PHYSICAL COMPUTING FOR DES.","852","12358","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12358","Cancelled 01/10/23"
"202310","DD640","UI/UX IN DIGITAL DESIGN","852","12359","","TBA"," ","Cancelled","15","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12359","Cancelled 12/05/22"
