"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","DS632","ADV DATABASE SYS DESIGN","002","16127","T","10:00 AM - 12:50 PM","KUPF 108","Open","43","27","Geller, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16127",""
"202310","DS632","ADV DATABASE SYS DESIGN","102","16126","T","6:00 PM - 8:50 PM","KUPF 204","Open","43","31","Eren, Canan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16126",""
"202310","DS632","ADV DATABASE SYS DESIGN","852","16282","","TBA"," ","Open","30","9","Li, Chih-yuan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16282","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","DS636","DATA ANALYTICS WITH R PROGRAM","002","16128","R","1:00 PM - 3:50 PM","CKB 204","Open","43","28","Wei, Zhi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16128",""
"202310","DS636","DATA ANALYTICS WITH R PROGRAM","004","16129","M","2:30 PM - 5:20 PM","CKB 217","Closed","43","43","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16129",""
"202310","DS636","DATA ANALYTICS WITH R PROGRAM","006","16518","F","1:00 PM - 3:50 PM","CKB 124","Open","43","42","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16518",""
"202310","DS636","DATA ANALYTICS WITH R PROGRAM","102","16130","F","6:00 PM - 8:50 PM","WEST LECT 2","Open","43","42","Li, Daming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16130",""
"202310","DS636","DATA ANALYTICS WITH R PROGRAM","852","16131","","TBA"," ","Open","30","16","Li, Daming","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16131","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","DS644","INTRODUCTION TO BIG DATA","002","16132","T","2:30 PM - 3:50 PM"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16132","Cancelled 12/12/22"
"202310","DS644","INTRODUCTION TO BIG DATA","004","16360","T","2:30 PM - 5:20 PM","KUPF 203","Closed","43","43","Li, Yajuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16360",""
"202310","DS644","INTRODUCTION TO BIG DATA","102","16133","M","6:00 PM - 8:50 PM","CKB 124","Closed","43","43","DeMeo, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16133",""
