"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ECET201","CIRCUITS I","002","12828","M","1:00 PM - 2:55 PM","FMH 304","Closed","21","21","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12828",""
"202310","ECET201","CIRCUITS I","002","12828","W","9:15 AM - 11:10 AM","FMH 310","Closed","21","21","Shekhar, Prateek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12828",""
"202310","ECET201","CIRCUITS I","102","12829","F","6:00 PM - 7:55 PM","FMH 316","Open","21","13","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12829",""
"202310","ECET201","CIRCUITS I","102","12829","R","6:00 PM - 7:55 PM","FMH 321","Open","21","13","Ghrayeb, Ashraf","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12829",""
"202310","ECET201","CIRCUITS I","104","16385","R","6:00 PM - 7:55 PM","FMH 403","Open","21","20","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16385",""
"202310","ECET201","CIRCUITS I","104","16385","R","8:05 PM - 10:00 PM","FMH 109","Open","21","20","Vincent, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16385",""
"202310","ECET202","CIRCUITS II","002","12830","MW","11:30 AM - 1:35 PM"," ","Cancelled","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12830","Cancelled 11/2/22"
"202310","ECET202","CIRCUITS II","002","12830","MW","11:30 AM - 1:35 PM"," ","Cancelled","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12830","Cancelled 11/2/22"
"202310","ECET202","CIRCUITS II","102","12831","M","6:00 PM - 7:55 PM","FMH 310","Open","21","17","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12831",""
"202310","ECET202","CIRCUITS II","102","12831","M","8:05 PM - 10:00 PM","FMH 318","Open","21","17","Kayzman, Victor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12831",""
"202310","ECET205","ANALOG ELECTRONICS","002","12832","R","2:30 PM - 4:25 PM"," ","Cancelled","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12832","Cancelled 11/2/22"
"202310","ECET205","ANALOG ELECTRONICS","002","12832","T","2:30 PM - 4:25 PM"," ","Cancelled","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12832","Cancelled 11/2/22"
