"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ECE101","INTRO TO ELECT & COMP ENGINEER","002","12360","T","5:00 PM - 5:50 PM","WEST LECT 1","Open","144","131","Mathes, Ryoko","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12360",""
"202310","ECE231","CIRCUITS & SYSTEMS I","002","12361","MW","1:00 PM - 2:20 PM","CKB 330","Open","35","14","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12361",""
"202310","ECE231","CIRCUITS & SYSTEMS I","002","12361","R","4:00 PM - 5:00 PM","CKB 223","Open","35","14","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12361",""
"202310","ECE231","CIRCUITS & SYSTEMS I","102","12362","R","6:00 PM - 10:05 PM","ECEC 100","Open","50","47","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12362",""
"202310","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM2","12363","MW","1:00 PM - 2:20 PM","CKB 330","Open","5","1","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12363","Honors Course"
"202310","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM2","12363","R","4:00 PM - 5:00 PM","CKB 223","Open","5","1","Ansari, Nirwan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12363","Honors Course"
"202310","ECE231","CIRCUITS & SYSTEMS I - HONORS","HM4","12364","R","6:00 PM - 10:05 PM","ECEC 100","Open","10","3","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12364","Honors Course"
"202310","ECE232","CIRCUITS & SYSTEMS II","002","12365","F","10:00 AM - 11:00 AM","WEST LECT 2","Open","43","28","Akansu, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12365",""
"202310","ECE232","CIRCUITS & SYSTEMS II","002","12365","TR","2:30 PM - 3:50 PM","KUPF 117","Open","43","28","Akansu, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12365",""
"202310","ECE232","CIRCUITS & SYSTEMS II","102","12366","M","6:00 PM - 10:05 PM","GITC 1400","Open","70","52","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12366",""
"202310","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM2","12367","F","10:00 AM - 11:00 AM","WEST LECT 2","Open","10","2","Akansu, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12367","Honors Course"
"202310","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM2","12367","TR","2:30 PM - 3:50 PM","KUPF 117","Open","10","2","Akansu, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12367","Honors Course"
"202310","ECE232","CIRCUITS & SYSTEMS II - HONORS","HM4","12368","M","6:00 PM - 10:05 PM","GITC 1400","Open","10","2","Manzhura, Oksana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12368","Honors Course"
