"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ECON201","ECONOMICS","002","12872","F","1:00 PM - 3:50 PM","GITC 1400","Closed","55","55","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12872","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/20/23<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202310","ECON201","ECONOMICS","004","12873","F","1:00 PM - 3:50 PM","GITC 1400","Open","55","21","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12873","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/20/23<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202310","ECON201","ECONOMICS","006","12874","TF","8:30 AM - 9:50 AM","KUPF 202","Open","33","31","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12874","For Non-Business Majors Only"
"202310","ECON201","ECONOMICS","102","12875","W","6:00 PM - 8:50 PM","GITC 1400","Open","55","54","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12875","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/23<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202310","ECON201","ECONOMICS","104","12876","W","6:00 PM - 8:50 PM","GITC 1400","Open","55","24","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12876","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/23<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202310","ECON201","ECONOMICS","452","12877","","TBA"," ","Closed","30","30","Bonitsis, Theologos","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12877","Online Course<br />Non Business Majors Only"
"202310","ECON201","ECONOMICS - HONORS","HM2","12878","TF","8:30 AM - 9:50 AM","KUPF 202","Open","10","6","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12878","Honors Course<br />Non Business Majors Only"
"202310","ECON265","MICROECONOMICS","102","12879","W","6:00 PM - 8:50 PM","KUPF 107","Open","43","26","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12879",""
"202310","ECON265","MICROECONOMICS","452","12880","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12880","Online Course"
"202310","ECON266","MACROECONOMICS","002","12881","TF","4:00 PM - 5:20 PM","KUPF 207","Closed","43","43","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12881",""
"202310","ECON266","MACROECONOMICS","102","12882","M","6:00 PM - 8:50 PM","KUPF 206","Closed","43","43","Bataille, Edner","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12882",""
"202310","ECON266","MACROECONOMICS","452","12883","","TBA"," ","Closed","30","30","Chou, Porchiung","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12883","Online Course"
"202310","ECON610","MANAGERIAL ECONOMICS","852","12884","","TBA"," ","Open","30","22","Chou, Porchiung","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12884","Restricted to Virtual Campus Students Only<br />Online Course"
