"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","EM602","MANAGEMENT SCIENCE","002","16150","F","8:30 AM - 11:20 AM","CKB 124","Closed","30","30","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16150","Department Permission Required"
"202310","EM602","MANAGEMENT SCIENCE","102","12885","W","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12885","Cancelled 10/25/22"
"202310","EM602","MANAGEMENT SCIENCE","104","16178","M","6:00 PM - 8:50 PM","FMH 213","Open","30","25","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16178",""
"202310","EM602","MANAGEMENT SCIENCE","852","12886","","TBA"," ","Open","30","17","Besenski, Dejan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12886","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","EM602","MANAGEMENT SCIENCE","854","12887","","TBA"," ","Open","30","23","Cai, Wenbo","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12887","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM631","LEGAL ASPCT IN ENVR ENGR","852","12888","","TBA"," ","Open","30","29","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12888","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM632","LEGAL ASPECTS IN CONSTR","852","12889","","TBA"," ","Open","30","24","Avoryie, Abigail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12889","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","EM636","PROJECT MANAGEMENT","002","16177","M","2:30 PM - 5:20 PM","CKB 106","Closed","30","30","Vaccari, Raymond","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16177","Department Permission Required"
"202310","EM636","PROJECT MANAGEMENT","102","16152","R","6:00 PM - 8:50 PM","FMH 411","Closed","30","32","Cobuloglu, Halil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16152",""
"202310","EM636","PROJECT MANAGEMENT","104","16175","W","6:00 PM - 8:50 PM","ME 221","Open","30","29","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16175","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/18/23<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","EM636","PROJECT MANAGEMENT","106","12890","F","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12890","Cancelled 10/25/22"
"202310","EM636","PROJECT MANAGEMENT","108","16176","W","6:00 PM - 8:50 PM","ME 221","Open","30","28","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16176","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/25/23<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","EM636","PROJECT MANAGEMENT","852","12891","","TBA"," ","Open","30","22","Zoppi, Philip","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12891","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","EM636","PROJECT MANAGEMENT","854","12892","","TBA"," ","Open","30","15","Naraine, Deoraj","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12892","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM637","PROJECT CONTROL","102","12893","S","9:00 AM - 11:50 AM","ME 221","Closed","30","33","Ikhmeis, Sufian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12893",""
"202310","EM637","PROJECT CONTROL","852","12894","","TBA"," ","Open","30","11","Snyder, Harris","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12894","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","EM637","PROJECT CONTROL","854","12895","","TBA"," ","Open","30","20","Snyder, Harris","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12895","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM640","DISTRIBUTION LOGISTICS","852","12896","","TBA"," ","Open","30","14","Yagci, Ismail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12896","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","EM640","DISTRIBUTION LOGISTICS","854","12897","","TBA"," ","Closed","30","32","Yagci, Ismail","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12897","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM655","MGT ASPCTS OF INF SYSTMS","102","16148","W","6:00 PM - 8:50 PM","KUPF 117","Closed","30","30","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16148",""
"202310","EM691","COST ESTIMTNG CAPTL PROJ","852","12898","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12898","Cancelled 01/09/23"
"202310","EM691","COST ESTIMTNG CAPTL PROJ","854","12899","","TBA"," ","Open","30","18","Jaramillo Cueva, Cesar Augusto","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12899","Restricted to Newark Campus Students Only<br />Online Course"
"202310","EM700B","MASTER'S PROJECT","390","16052","","TBA"," ","Open","19","1","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16052","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","391","16054","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16054","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","392","16055","","TBA"," ","Open","19","0","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16055","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","394","16057","","TBA"," ","Open","19","2","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16057","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","400","16053","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16053","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","403","16061","","TBA"," ","Open","19","0","Tricamo, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16061","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","407","16059","","TBA"," ","Open","19","8","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16059","See department for permission to enroll."
"202310","EM700B","MASTER'S PROJECT","452","16214","","TBA"," ","Open","19","1","Marras, Simone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16214","See department for permission to enroll."
