"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ENE262","INTRO TO ENVIRONMENTAL ENGR","002","12910","T","8:30 AM - 12:50 PM","CULM LECT 1","Open","20","16","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12910",""
"202310","ENE262","INTRO TO ENVIRONMENTAL ENGR","004","12911","R","8:30 AM - 12:50 PM","TIER 113","Closed","15","15","Furrey, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12911",""
"202310","ENE262","INTRO TO ENVIRONMENTAL ENGR","102","12912","T","6:00 PM - 10:05 PM","CKB 204","Closed","20","23","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12912",""
"202310","ENE262","INTRO TO ENVIRONMENTAL ENGR - HONORS","HM2","12913","R","8:30 AM - 12:50 PM","TIER 113","Open","5","4","Furrey, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12913","Honors Course"
"202310","ENE485","ST: SAFE WATER ON TAP","002","16203","TR","4:00 PM - 5:20 PM","MALL PC40","Open","25","24","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16203",""
"202310","ENE662","SITE REMEDIATION","852","12914","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12914","Cancelled 10/28/22"
"202310","ENE663","WATER CHEMISTRY","102","12915","R","6:00 PM - 8:50 PM","CKB 120","Closed","15","15","Zhang, Lijie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12915",""
"202310","ENE700B","MASTER'S PROJECT","081","12916","","TBA"," ","Open","19","0","Baltzis, Basil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12916","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","091","12917","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12917","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","188","12918","","TBA"," ","Open","19","0","Dresnack, Robert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12918","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","191","12919","","TBA"," ","Open","19","0","Hassane Assaad, Rayan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12919","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","197","12920","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12920","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","203","12921","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12921","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","208","12922","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12922","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","210","12923","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12923","See department for permission to enroll."
"202310","ENE700B","MASTER'S PROJECT","211","12924","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12924","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","182","12925","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12925","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","188","12926","","TBA"," ","Open","19","0","Dresnack, Robert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12926","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","191","12927","","TBA"," ","Open","19","0","Hassane Assaad, Rayan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12927","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","199","12928","","TBA"," ","Open","19","0","Raghu, Dorairaja","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12928","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","208","12929","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12929","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","210","12930","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12930","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","211","12931","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12931","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","212","12932","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12932","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","214","12933","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12933","See department for permission to enroll."
"202310","ENE701B","MASTER'S THESIS","215","12934","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12934","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","181","12935","","TBA"," ","Open","19","1","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12935","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","182","12936","","TBA"," ","Open","19","3","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12936","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","188","12937","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12937","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","198","12938","","TBA"," ","Open","19","1","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12938","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","199","12939","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12939","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","208","12940","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12940","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","210","12941","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12941","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","211","12942","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12942","See department for permission to enroll."
"202310","ENE725","INDEPENDENT STUDY I","214","12943","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12943","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","182","12944","","TBA"," ","Open","19","1","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12944","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","188","12945","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12945","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","198","12946","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12946","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","199","12947","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12947","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","210","12948","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12948","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","211","12949","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12949","See department for permission to enroll."
"202310","ENE726","INDEPENDENT STUDY","214","12950","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12950","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","181","12951","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12951","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","182","12952","","TBA"," ","Open","19","1","Boufadel, Michel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12952","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","188","12953","","TBA"," ","Open","19","0","Dresnack, Robert","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12953","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","189","12954","","TBA"," ","Open","19","0","Golub, Eugene","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12954","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","198","12955","","TBA"," ","Open","19","2","Zhang, Wen","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12955","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","199","12956","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12956","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","210","12957","","TBA"," ","Open","19","1","Axe, Lisa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12957","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","211","12958","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12958","See department for permission to enroll."
"202310","ENE790A","DOCTORAL DISSERT & RES","214","12959","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12959","See department for permission to enroll."
"202310","ENE790B","DOCTORAL DISSERT & RES","199","12960","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12960","See department for permission to enroll."
"202310","ENE790B","DOCTORAL DISSERT & RES","208","12961","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12961","See department for permission to enroll."
"202310","ENE790B","DOCTORAL DISSERT & RES","210","12962","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12962","See department for permission to enroll."
"202310","ENE790B","DOCTORAL DISSERT & RES","211","12963","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12963","See department for permission to enroll."
"202310","ENE790B","DOCTORAL DISSERT & RES","214","12964","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12964","See department for permission to enroll."
"202310","ENE790C","DOCTORAL DISSERTATION","191","12965","","TBA"," ","Open","19","0","Hassane Assaad, Rayan","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12965","See department for permission to enroll."
"202310","ENE790C","DOCTORAL DISSERTATION","198","12966","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12966","See department for permission to enroll."
"202310","ENE790C","DOCTORAL DISSERTATION","208","12967","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12967","See department for permission to enroll."
"202310","ENE790C","DOCTORAL DISSERTATION","210","12968","","TBA"," ","Open","19","0","Axe, Lisa","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12968","See department for permission to enroll."
"202310","ENE790C","DOCTORAL DISSERTATION","211","12969","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12969","See department for permission to enroll."
"202310","ENE790D","DOCTORAL DISSERTATION","181","12970","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12970","See department for permission to enroll."
"202310","ENE790D","DOCTORAL DISSERTATION","188","12971","","TBA"," ","Open","19","0","Dresnack, Robert","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12971","See department for permission to enroll."
