"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ENGL096","RDING, WRTNG, CRIT THINKING","002","12983","M","2:30 PM - 3:50 PM"," ","Cancelled","15","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12983","Cancelled 12/16/22"
"202310","ENGL096","RDING, WRTNG, CRIT THINKING","002","12983","T","1:00 PM - 3:50 PM"," ","Cancelled","15","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12983","Cancelled 12/16/22"
"202310","ENGL096","RDING, WRTNG, CRIT THINKING","002","12983","W","10:00 AM - 11:20 AM"," ","Cancelled","15","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12983","Cancelled 12/16/22"
"202310","ENGL099","ENGLISH COMP:RDNG, WRIT","001","12984","MW","1:00 PM - 2:20 PM","CKB 341","Open","20","9","Paris, Jerome","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12984",""
"202310","ENGL100","INTRO TO ACADEMIC RDG, WRTG","001","12985","MW","11:30 AM - 12:50 PM","CULM 411","Open","15","13","Paris, Jerome","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12985","For Students in the English Language Program"
"202310","ENGL101","INTRO TO ACADEMIC WRITING","002","12986","TF","1:00 PM - 2:20 PM","FMH 106","Closed","22","25","Thomas, Celina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12986",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","004","12987","TF","2:30 PM - 3:50 PM","FMH 321","Open","22","21","Thomas, Celina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12987",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","006","12988","TR","4:00 PM - 5:20 PM","FMH 106","Closed","22","23","Kilroy, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12988",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","008","12989","TR","11:30 AM - 12:50 PM","FMH 106","Closed","22","24","Wynter, Lionel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12989",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","010","12990","MR","1:00 PM - 2:20 PM","FMH 203","Closed","22","23","O'Neill, Megan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12990",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","012","12991","MR","11:30 AM - 12:50 PM","FMH 203","Closed","22","24","O'Neill, Megan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12991",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","014","12992","WF","1:00 PM - 2:20 PM","FMH 319","Open","22","21","Lozauskas, Jeni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=12992",""
"202310","ENGL101","INTRO TO ACADEMIC WRITING","MPT","16398","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16398","For Marion P. Thomas Charter School Students Only"
"202310","ENGL101","INTRO TO ACADEMIC WRITING","SIA","16399","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16399","For STEM Innovation Academy Students Only"
