"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","13056","M","8:30 AM - 9:50 AM","FMH 405","Open","27","26","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13056","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","13056","MW","11:30 AM - 12:50 PM","CKB 217","Open","27","26","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13056","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","002","13056","T","10:00 AM - 11:20 AM","GITC 2400","Open","27","26","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13056","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","13057","M","8:30 AM - 9:50 AM","GITC 2400","Open","27","23","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13057","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","13057","MW","11:30 AM - 12:50 PM","CKB 217","Open","27","23","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13057","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","004","13057","T","10:00 AM - 11:20 AM","FMH 106","Open","27","23","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13057","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","13058","MW","11:30 AM - 12:50 PM","CKB 217","Closed","27","27","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13058","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","13058","T","10:00 AM - 11:20 AM","FMH 321","Closed","27","27","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13058","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","006","13058","T","2:30 PM - 3:50 PM","GITC 2400","Closed","27","27","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13058","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","13059","F","10:00 AM - 11:20 AM","GITC 2400","Closed","0","0","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13059","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","13059","M","8:30 AM - 9:50 AM","FMH 321","Closed","0","0","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13059","For students taking MATH 110"
"202310","ENGR101","ANALYTICAL METH FOR ENGR APPL","008","13059","MW","11:30 AM - 12:50 PM","CKB 217","Closed","0","0","Sodhi, Jaskirat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13059","For students taking MATH 110"
"202310","ENGR210","CAREER PLANNING SEMINAR FOR EN","102","13060","M","6:00 PM - 7:20 PM","FMH 209","Open","35","20","Dorazio, Lucas","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13060","For CHE Students Only<br />Permission required for all other students."
"202310","ENGR290","PERS OF THE GRAND CHALLENGES","002","16256","F","2:30 PM - 3:30 PM","CKB 106","Closed","0","10","Borgaonkar, Ashish","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16256","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />See syllabus for meetings dates held in-person.<br />For NCE Grand Challenges Scholars Program Students Only<br />Please contact Dr. Ashish Borgaonkar for more information.<br />Department permission required"
"202310","ENGR301","ENGR APPLICATIONS OF DATA SCI","002","13061","MW","11:30 AM - 1:35 PM","KUPF 118","Open","24","7","Young, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13061",""
"202310","ENGR301","ENGR APPLICATIONS OF DATA SCI - HONORS","HM2","13062","MW","11:30 AM - 1:35 PM","KUPF 118","Closed","3","3","Young, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13062","Honors Course"
"202310","ENGR310","CO-OP WORK EXPERIENCE I","077","13063","","TBA"," ","Open","19","7","MontJohnson, Ashley","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13063","This section is for BME majors only.<br />See department for permission to enroll."
"202310","ENGR310","CO-OP WORK EXPERIENCE I","084","13064","","TBA"," ","Open","19","5","Obuskovic, Gordana","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13064","This section is for CHE majors only.<br />See department for permission to enroll."
"202310","ENGR310","CO-OP WORK EXPERIENCE I","194","13065","","TBA"," ","Open","19","0","Konon, Walter","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13065","See department for permission to enroll."
"202310","ENGR310","CO-OP WORK EXPERIENCE I","270","13066","","TBA"," ","Open","19","2","Sosnowski, Marek","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13066","See department for permission to enroll."
"202310","ENGR310","CO-OP WORK EXPERIENCE I","400","13067","","TBA"," ","Open","19","6","Abdou, George","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13067","See department for permission to enroll."
"202310","ENGR320","PROTOTYPING ESSENTIALS","102","16285","M","6:00 PM - 10:05 PM","GITC 1222","Closed","24","24","Brateris, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16285","This course meets in the Makerspace."
"202310","ENGR320","PROTOTYPING ESSENTIALS","104","16452","W","6:00 PM - 10:05 PM","GITC 1222","Closed","24","24","Sosa, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16452","This course meets in the Makerspace."
"202310","ENGR410","CO-OP WORK EXPERIENCE II","077","13068","","TBA"," ","Open","19","0","MontJohnson, Ashley","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13068","This section is for BME majors only.<br />See department for permission to enroll."
"202310","ENGR410","CO-OP WORK EXPERIENCE II","084","13069","","TBA"," ","Open","19","1","Obuskovic, Gordana","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13069","See department for permission to enroll."
"202310","ENGR410","CO-OP WORK EXPERIENCE II","270","16513","","TBA"," ","Open","19","1","Sosnowski, Marek","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16513","See department for permission to enroll."
"202310","ENGR410","CO-OP WORK EXPERIENCE II","400","13070","","TBA"," ","Open","19","0","","Face-to-Face","12","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13070","See department for permission to enroll."
"202310","ENGR424","ROBOTICS SCIENCE FUNDAMENTALS","002","13071","M","1:00 PM - 5:20 PM","CKB 114","Closed","30","30","Abichandani, Pramod","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13071",""
"202310","ENGR491","RESEARCH AND INDP STUDY I","062","13072","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13072","Cancelled 01/17/23"
"202310","ENGR491","RESEARCH AND INDP STUDY I","192","13073","","TBA"," ","Open","19","0","Bandelt, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13073","See department for permission to enroll."
"202310","ENGR491","RESEARCH AND INDP STUDY I","199","13074","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13074","See department for permission to enroll."
"202310","ENGR491","RESEARCH AND INDP STUDY I","203","16457","","TBA"," ","Open","19","1","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16457","See department for permission to enroll."
"202310","ENGR491","RESEARCH AND INDP STUDY I","303","16562","","TBA"," ","Open","19","1","Alvarez, Tara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16562",""
"202310","ENGR491","RESEARCH AND INDP STUDY I","347","16229","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16229","Cancelled 01/24/23"
"202310","ENGR492","RESEARCH & INDP STUDY II","204","16278","","TBA"," ","Open","19","1","Adams, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16278","See department for permission to enroll."
