"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","EVSC125","FUNDAMENTALS OF ENVR SCIENCES","002","13089","WF","1:00 PM - 2:20 PM","FMH 405","Open","25","19","Bonchonsky, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13089",""
"202310","EVSC325","ENERGY AND ENVIRONMENT","102","13090","M","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13090","Cancelled 10/24/22"
"202310","EVSC375","ENVIRONMENTAL BIOLOGY","102","13091","W","6:00 PM - 8:50 PM","TIER 114","Open","30","23","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13091",""
"202310","EVSC381","GEOMORPHOLOGY","002","13092","","TBA"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13092","Cancelled 11/2/22"
"202310","EVSC385","ENVIRONMENTAL MICROBIOLOGY","102","16027","T","6:00 PM - 8:50 PM","TIER LECT 2","Open","43","33","Li, Mengyan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16027",""
"202310","EVSC391","RESEARCH AND INDEPENDENT STUDY","843","13093","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13093","See department for permission to enroll."
"202310","EVSC416","ENVIRONMENTAL TOXICOLOGY","002","13094","WF","10:00 AM - 11:20 AM","KUPF 108","Open","25","20","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13094",""
"202310","EVSC490","ST: ENVIRONMENTAL HEALTH AND SAFETY","452","13095","","TBA"," ","Closed","25","25","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13095","Online Course"
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","131","13096","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13096","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","132","13097","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13097","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","133","13098","","TBA"," ","Cancelled","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13098","Cancelled 12/02/22"
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","135","13099","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13099","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","136","13100","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13100","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","137","13101","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13101","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","138","13102","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13102","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","141","13103","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13103","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","142","13104","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13104","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","143","13105","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13105","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","144","13106","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13106","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","147","13107","","TBA"," ","Open","19","0","Kim, Yongick","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13107","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","148","13108","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13108","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","151","13109","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13109","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","152","13110","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13110","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","156","13111","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13111","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","158","13112","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13112","See department for permission to enroll."
"202310","EVSC591","GRADUATE WORK EXPERIENCE I","843","13113","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13113","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","131","13114","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13114","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","132","13115","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13115","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","133","13116","","TBA"," ","Cancelled","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13116","Cancelled 12/02/22"
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","135","13117","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13117","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","136","13118","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13118","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","137","13119","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13119","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","138","13120","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13120","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","141","13121","","TBA"," ","Open","19","0","Casado Zapico, Sara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13121","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","142","13122","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13122","See department for permission to enroll."
"202310","EVSC592","GRADUATE WORK EXPERIENCE II","143","13123","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13123","See department for permission to enroll."
