"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","FED101","BME - FUNDAMENTALS OF ENGR DESIGN","004","13351","F","1:00 PM - 3:50 PM","FENS 640","Closed","16","17","Moodey, Paul","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13351",""
"202310","FED101","BME - FUNDAMENTALS OF ENGR DESIGN","040","13361","T","10:00 AM - 12:50 PM","FENS 698","Closed","16","19","MontJohnson, Ashley","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13361",""
"202310","FED101","CE - FUNDAMENTALS OF ENGR DESIGN","008","13352","TR","11:30 AM - 12:50 PM","COLT 416","Open","60","26","Golon, Frank","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13352",""
"202310","FED101","CE - FUNDAMENTALS OF ENGR DESIGN","102","13362","W","6:00 PM - 8:50 PM","CKB 220","Open","25","12","Meneses, Carlos","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13362",""
"202310","FED101","CHE - FUNDAMENTALS OF ENGR DESIGN","012","13353","R","8:30 AM - 11:20 AM","TIER 411","Open","30","9","Molodetsky, Irina","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13353",""
"202310","FED101","FUNDAMENTALS OF ENGR DESIGN","CRA","16400","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16400","For Cranford High School Students Only"
"202310","FED101","FUNDAMENTALS OF ENGR DESIGN","EST","16401","","TBA"," ","Closed","0","37","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16401","For Essex School of Technology Students Only"
"202310","FED101","FUNDAMENTALS OF ENGR DESIGN","HS1","15702","S","9:00 AM - 11:50 AM"," ","Cancelled","20","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15702","Cancelled 01/26/23"
"202310","FED101","FUNDAMENTALS OF ENGR DESIGN","JDT","16402","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16402","For John E. Dwyer Technology Academy Students Only"
"202310","FED101","FUNDAMENTALS OF ENGR DESIGN","LIV","16403","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16403","For Livingston High School Students Only"
