"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","FIN218","FINANCL MARKETS & INSTITUTIONS","002","13363","MW","1:00 PM - 2:20 PM","KUPF 205","Closed","33","33","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13363",""
"202310","FIN218","FINANCL MARKETS & INSTITUTIONS","004","13364","TR","2:30 PM - 3:50 PM","FMH 408","Closed","43","43","Ao, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13364",""
"202310","FIN218","FINANCL MARKETS & INSTITUTIONS","102","13365","R","7:30 PM - 8:50 PM","KUPF 203","Open","43","29","Ao, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13365",""
"202310","FIN218","FINANCL MARKETS & INSTITUTIONS","102","13365","T","7:30 PM - 8:50 PM","KUPF 203","Open","43","29","Ao, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13365",""
"202310","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM2","13366","MW","1:00 PM - 2:20 PM","KUPF 205","Open","10","6","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13366","Honors Course"
"202310","FIN306","BLOCKCHAIN TECH FOR BUSINESS","002","13367","TR","2:30 PM - 3:50 PM","CAB 3052","Open","43","29","Shi, Junmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13367","Students must bring their own device for this section."
"202310","FIN310","DATA-DRIVEN FINANCIAL MODELING","002","13368","MW","10:00 AM - 11:20 AM","KUPF 104","Open","43","23","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13368",""
"202310","FIN315","FUND OF CORPORATE FINANCE","002","13369","MW","10:00 AM - 11:20 AM","KUPF 209","Closed","33","33","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13369",""
"202310","FIN315","FUND OF CORPORATE FINANCE","004","13370","TR","1:00 PM - 2:20 PM","KUPF 104","Closed","43","43","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13370",""
"202310","FIN315","FUND OF CORPORATE FINANCE","102","13371","W","6:00 PM - 8:50 PM","FMH 408","Open","43","33","Domasky, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13371",""
"202310","FIN315","FUND OF CORPORATE FINANCE","452","13372","","TBA"," ","Closed","30","30","Deegan, Jeffrey","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13372","Online Course"
"202310","FIN315","FUND OF CORPORATE FINANCE","454","13373","","TBA"," ","Closed","30","30","Deegan, Jeffrey","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13373","Online Course"
"202310","FIN315","FUND OF CORPORATE FINANCE - HONORS","HM2","13374","MW","10:00 AM - 11:20 AM","KUPF 209","Open","10","9","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13374","Honors Course"
"202310","FIN320","FIN DATA ANALYTICS","002","13375","MW","11:30 AM - 12:50 PM","KUPF 203","Open","43","32","Zhang, Shaoqing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13375",""
"202310","FIN403","FINANCIAL STATEMENT ANALYSIS","002","13376","MR","10:00 AM - 11:20 AM","KUPF 203","Closed","23","26","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13376",""
"202310","FIN416","ADVANCED CORPORATE FINANCE","002","13377","MW","11:30 AM - 12:50 PM","KUPF 209","Open","43","37","Wang, Jinghua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13377",""
"202310","FIN490","INDEPENDENT STUDY IN FINANCE","874","16211","","TBA"," ","Open","19","2","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16211","See department for permission to enroll."
"202310","FIN490","INDEPENDENT STUDY IN FINANCE","888","13378","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13378","Cancelled 11/8/22"
"202310","FIN600","CORPORATE FINANCE I","102","13379","W","6:00 PM - 8:50 PM","KUPF 104","Closed","43","45","Tao, Xinyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13379",""
"202310","FIN600","CORPORATE FINANCE I","852","13380","","TBA"," ","Closed","43","43","Zhao, Yan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13380","Restricted to Newark Campus Students Only<br />Online Course"
"202310","FIN600","CORPORATE FINANCE I","854","13381","","TBA"," ","Open","30","29","Tao, Xinyuan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13381","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","FIN600","CORPORATE FINANCE I","856","16276","","TBA"," ","Closed","30","30","Domasky, Peter","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16276","Restricted to Newark Campus Students Only<br />Online Course"
"202310","FIN611","INTRO TO TOPICS IN FIN TECH","852","13382","","TBA"," ","Open","30","8","Uddin, Ajim","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13382","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","FIN620","ADV FINANCIAL DATA ANALYTICS","102","13383","W","6:00 PM - 8:50 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13383","Cancelled 01/05/23"
"202310","FIN624","CORPORATE FINANCE II","102","13384","T","6:00 PM - 8:50 PM","KUPF 108","Open","43","11","Goodwin, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13384",""
"202310","FIN626","FINANCIAL MRKTS & INSTITUTIONS","852","13385","","TBA"," ","Open","30","13","Zhao, Yan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13385","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","FIN634","MERGERS & ACQUISITIONS","102","13386","M","6:00 PM - 8:50 PM","KUPF 203","Open","43","10","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13386",""
"202310","FIN650","INVESTMNT ANALY & PRORTFLIO","852","13387","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13387","Cancelled 01/09/23"
"202310","FIN725","INDEPENDENT STUDY","874","16596","","TBA"," ","Open","19","1","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16596",""
