"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","002","13388","TR","10:00 AM - 11:20 AM","TIER LECT 1","Open","60","59","Casado Zapico, Sara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13388",""
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","EHS","16413","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16413","For Eastside High School Students Only"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","FSI","13389","MTWRF","2:30 PM - 3:50 PM","CKB 341","Open","25","0","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13389","For FSI Students Only"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","HS1","15703","S","9:00 AM - 11:50 AM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15703","Cancelled 01/26/23"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","MWH","16414","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16414","For Mahwah High School Students Only"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","PTH","16415","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16415","For Parsippany-Troy Hills High School Students Only"
"202310","FRSC201","INTRO TO FORENSIC SCIENCE","SIA","16416","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16416","For STEM Innovation Academy Students Only"
"202310","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13390","T","8:30 AM - 12:05 PM","TIER 209","Closed","20","22","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13390",""
"202310","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13390","W","11:30 AM - 1:25 PM","CKB 207","Closed","20","22","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13390",""
"202310","FRSC475","FORENSIC CHEMISTRY & LAB","002","13391","R","8:30 AM - 12:50 PM"," ","Cancelled","24","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13391","Cancelled 12/06/22"
"202310","FRSC475","FORENSIC CHEMISTRY & LAB","002","13391","T","11:30 AM - 1:25 PM"," ","Cancelled","24","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13391","Cancelled 12/06/22"
"202310","FRSC480","FORENSIC MICROSCOPY & LAB","002","13392","M","11:30 AM - 1:25 PM","TIER 209","Open","24","9","Fisher, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13392",""
"202310","FRSC480","FORENSIC MICROSCOPY & LAB","002","13392","W","8:30 AM - 12:50 PM","TIER 209","Open","24","9","Fisher, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13392",""
"202310","FRSC490","CO-OP WORK EXPERIENCE","140","13393","","TBA"," ","Open","19","0","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13393","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","131","13394","","TBA"," ","Open","19","0","Sadik, Omowunmi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13394","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","132","13395","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13395","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","133","13396","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13396","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","135","13397","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13397","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","136","13398","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13398","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","137","13399","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13399","See department for permission to enroll."
"202310","FRSC491","RESEARCH & INDEP STUDY I","138","13400","","TBA"," ","Open","19","0","Alipour Shakib, Farnaz","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13400","See department for permission to enroll."
