"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","FYSSEM","FIRST-YEAR SEMINAR","002","13416","T","2:30 PM - 3:50 PM","CKB 114","Closed","0","26","Marmelo, Joana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13416",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","004","13417","R","1:00 PM - 2:20 PM","CKB 114","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13417",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","452","13418","","TBA"," ","Closed","0","0","","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13418","Cancelled 12/2/2022"
"202310","FYSSEM","FIRST-YEAR SEMINAR","454","13419","","TBA"," ","Closed","30","30","Baldwin, Ryan","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13419","Online Course<br />Contact Ryan Baldwin"
"202310","FYSSEM","FIRST-YEAR SEMINAR","456","16448","","TBA"," ","Closed","0","6","Giacino, Nicole","Online Newark","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16448","Online Course<br />Contact nicole.a.giacino@njit.edu for information"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E02","13420","W","1:00 PM - 2:20 PM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13420","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E04","13421","T","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13421","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E06","13422","T","1:00 PM - 2:20 PM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13422","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E08","13423","M","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13423","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E10","13424","M","2:30 PM - 3:50 PM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13424","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","E12","13425","R","2:30 PM - 3:50 PM"," ","Closed","0","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13425","Cancelled 11/10/22"
"202310","FYSSEM","FIRST-YEAR SEMINAR","S10","13426","W","11:30 AM - 12:50 PM","FMH 108","Closed","0","11","Pizarro-Valencia, Natalia","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13426",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","S12","13427","T","11:30 AM - 12:50 PM","CKB 310","Closed","0","12","Tchouassi, Lucie","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13427",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","SP2","13428","R","10:00 AM - 11:20 AM","FMH 108","Closed","0","7","Vega, Nancy","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13428",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","SP4","13429","M","11:30 AM - 12:50 PM","FMH 108","Closed","0","19","Giacino, Nicole","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13429",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","SP6","13430","M","1:00 PM - 2:20 PM","FMH 108","Closed","0","18","Vega, Nancy","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13430",""
"202310","FYSSEM","FIRST-YEAR SEMINAR","SP8","13431","W","10:00 AM - 11:20 AM","FMH 108","Closed","0","7","Howard, Jasmine","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13431",""
