"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","002","13433","MW","8:30 AM - 9:50 AM","CKB 222","Closed","32","32","Morrison-Santana, Deborah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13433",""
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","004","13434","TR","10:00 AM - 11:20 AM"," ","Cancelled","32","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13434","Cancelled 10/24/22"
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","006","13435","TR","1:00 PM - 2:20 PM"," ","Cancelled","32","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13435","Cancelled 10/24/22"
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","008","13436","TR","4:00 PM - 5:20 PM","CULM 111","Closed","18","18","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13436",""
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","010","16281","MW","11:30 AM - 12:50 PM","KUPF 107","Closed","32","32","Friedman, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16281",""
"202310","HIST213","THE TWENTIETH-CENTURY WORLD","102","16065","R","6:00 PM - 8:50 PM","CKB 222","Closed","32","32","Abboud, Rachelle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16065",""
"202310","HIST213","THE TWENTIETH-CENTURY WORLD - HONORS","HM2","13437","TR","4:00 PM - 5:20 PM","CULM 111","Open","10","4","Kent, Scott","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13437","Honors Course"
"202310","HIST214","TECH & CULT IN AMER HISTORY","002","13438","MW","1:00 PM - 2:20 PM","FMH 411","Closed","32","33","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13438",""
"202310","HIST214","TECH & CULT IN AMER HISTORY","004","13439","TR","11:30 AM - 12:50 PM","CKB 114","Closed","32","32","Arcadi, Teal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13439",""
"202310","HIST310","HISTORY CO-OP I","004","13441","","TBA"," ","Open","19","0","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13441","HISTORY Majors Only<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 310 does not fulfill any GER<br />See department for permission to enroll."
"202310","HIST310","LTC CO-OP I","002","13440","","TBA"," ","Open","19","1","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13440","LTC Majors Only<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 310 does not fulfill any GER<br />See department for permission to enroll."
"202310","HIST311","HISTORY CO-OP II","004","13443","","TBA"," ","Open","19","0","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13443","For HIST majors who have already completed HIST 310<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 311 does not fulfill any GER<br />See department for permission to enroll."
"202310","HIST311","LTC CO-OP II","002","13442","","TBA"," ","Open","19","0","Lefkovitz, Alison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13442","For LTC majors who have already completed HIST 310<br />For permit or information, email:  alison.lefkovitz@njit.edu<br />HIST 311 does not fulfill any GER<br />See department for permission to enroll."
