"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","HRM301","ORGANIZATIONAL BEHAVIOR","002","13502","MR","10:00 AM - 11:20 AM","KUPF 210","Open","43","27","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13502",""
"202310","HRM301","ORGANIZATIONAL BEHAVIOR","004","13503","TR","1:00 PM - 2:20 PM","CULM LECT 3","Open","43","41","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13503",""
"202310","HRM301","ORGANIZATIONAL BEHAVIOR","452","13504","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13504","Online Course"
"202310","HRM301","ORGANIZATIONAL BEHAVIOR","454","13505","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13505","Online Course"
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","002","13506","M","2:30 PM - 5:20 PM","ME 224","Closed","43","43","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13506",""
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","102","13507","R","6:00 PM - 8:50 PM","KUPF 210","Closed","43","43","Casal, Jose","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13507","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/26/23<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","1J2","13508","T","6:00 PM - 8:50 PM","HUD JC02","Open","43","5","Ancis, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13508","For Jersey City Students Only"
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","852","13509","","TBA"," ","Closed","30","30","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13509","Restricted to Newark Campus Students Only<br />Online Course"
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","854","13510","","TBA"," ","Open","30","25","Schneider, Marguerite","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13510","Restricted to Newark Campus Students Only<br />Online Course"
"202310","HRM601","ORGANIZATIONAL BEHAVIOR","856","13511","","TBA"," ","Closed","30","30","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13511","Restricted to Virtual Campus Students Only<br />Online Course"
