"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","HSS404","ENG SEM: FAKE NEWS AND MISINFORMATION: A CLOSER LOOK","120","15872","T","6:00 PM - 8:50 PM","CKB 320","Closed","24","24","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15872",""
"202310","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","012","13517","W","10:00 AM - 11:20 AM"," ","Cancelled","24","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13517","Cancelled 10/24/22"
"202310","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","012","13517","","TBA"," ","Cancelled","24","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13517","Cancelled 10/24/22"
"202310","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","014","13518","W","1:00 PM - 2:20 PM"," ","Cancelled","24","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13518","Cancelled 10/24/22"
"202310","HSS404","ENG SEM: FOOD NARRATIVES: DUMPLINGS, GUMBO, BURGERS & MORE","014","13518","","TBA"," ","Cancelled","24","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13518","Cancelled 10/24/22"
"202310","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","008","13515","TR","2:30 PM - 3:50 PM","TIER 114","Closed","24","24","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13515",""
"202310","HSS404","ENG SEM: GRAPHIC NOVELS, COMICS AND CARTOONS","010","13516","TR","4:00 PM - 5:20 PM","CKB 317","Closed","24","24","Slovis, Jake","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13516",""
"202310","HSS404","ENG SEM: MEMES - MEDIA, GENRES, AND APPLICATIONS","016","13519","WF","10:00 AM - 11:20 AM","CKB 222","Closed","24","24","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13519",""
"202310","HSS404","ENG SEM: MEMES - MEDIA, GENRES, AND APPLICATIONS","018","13520","WF","1:00 PM - 2:20 PM","CKB 314","Closed","24","24","Deane, Johanna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13520",""
"202310","HSS404","ENG SEM: SPECULATIVE TECHNOLOGIES IN SCIENCE FICTION","020","13521","MW","10:00 AM - 11:20 AM","CKB 206","Closed","24","24","Siemann, Catherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13521",""
"202310","HSS404","ENG SEM: THE WONDERS OF WORLD CINEMA","022","13522","MW","11:30 AM - 12:50 PM","TIER 112","Closed","24","24","Chen, Kim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13522",""
"202310","HSS404","ENG SEM: THE WONDERS OF WORLD CINEMA","024","13523","TR","11:30 AM - 12:50 PM","FMH 314","Closed","24","24","Chen, Kim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13523",""
