"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","IE224","PRODUCTION PROCESS DESIGN","002","13559","TF","4:00 PM - 5:20 PM","GITC 2305","Closed","30","31","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13559",""
"202310","IE331","APPLIED STATISTICAL METHODS","002","13560","MR","4:00 PM - 5:20 PM","GITC 2305","Open","30","19","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13560",""
"202310","IE334","ENGR ECO & CPTL INV ANAL","002","13561","TF","10:00 AM - 11:20 AM","GITC 2305","Open","30","24","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13561",""
"202310","IE335","ENGR COST ANAL & CONTROL","452","13562","","TBA"," ","Closed","30","37","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13562","Online Course"
"202310","IE335","ENGR COST ANAL & CONTROL","454","16195","","TBA"," ","Closed","30","30","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16195","Online Course"
"202310","IE339","WORK MEASUREMENT AND STANDARDS","002","13563","MR","10:00 AM - 12:05 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13563","Cancelled 10/25/22"
"202310","IE339","WORK MEASUREMENT AND STANDARDS","102","16125","T","6:00 PM - 10:05 PM","GITC 2311","Open","24","16","Tovar, Sandra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16125",""
"202310","IE355","HUMAN FACTORS IN IE","102","13564","R","6:00 PM - 8:50 PM","FMH 213","Open","30","26","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13564",""
"202310","IE355","HUMAN FACTORS IN IE","104","13565","S","9:00 AM - 11:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13565","Cancelled 01/09/23"
"202310","IE440","STOCHASTIC MOD IN OPER RESRCH","002","13566","F","1:00 PM - 3:50 PM","ME 221","Open","36","24","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13566",""
