"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","IS117","INTRO TO WEBSITE DEVELOPMENT","002","13704","TF","8:30 AM - 9:50 AM","GITC 2302","Open","35","34","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13704",""
"202310","IS117","INTRO TO WEBSITE DEVELOPMENT","004","13705","MR","10:00 AM - 11:20 AM","FENS 160","Closed","35","35","Hendela, Arthur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13705",""
"202310","IS117","INTRO TO WEBSITE DEVELOPMENT","006","13706","MW","1:00 PM - 2:20 PM","GITC 2302","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13706",""
"202310","IS218","BUILDING WEB APPLICATIONS","002","13707","TR","11:30 AM - 12:50 PM","GITC 2302","Closed","35","35","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13707",""
"202310","IS218","BUILDING WEB APPLICATIONS","004","13708","TR","4:00 PM - 5:20 PM","GITC 2302","Closed","35","35","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13708",""
"202310","IS219","ADV WEBSITE DEVELOPMENT","002","13709","F","1:00 PM - 2:20 PM","CKB 204","Closed","34","34","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13709","Students must bring their own device for this section."
"202310","IS219","ADV WEBSITE DEVELOPMENT","002","13709","W","1:00 PM - 2:20 PM","TIER 106","Closed","34","34","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13709","Students must bring their own device for this section."
"202310","IS219","ADV WEBSITE DEVELOPMENT","FHS","16417","","TBA"," ","Closed","0","6","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16417","For Freehold High School Students Only"
"202310","IS247","DESIGNING THE USER EXPERIENCE","002","13710","MW","10:00 AM - 11:20 AM","CKB G-08","Closed","35","35","Cartwright, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13710",""
"202310","IS247","DESIGNING THE USER EXPERIENCE","004","13711","MW","1:00 PM - 2:20 PM","TIER 107","Closed","35","35","Cartwright, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=13711",""
