"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","002","14028","TR","1:00 PM - 2:20 PM","GITC 2302","Closed","35","36","Patel, Dipesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14028",""
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","004","14029","MR","10:00 AM - 11:20 AM","GITC 2302","Closed","35","35","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14029",""
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","102","14030","W","6:00 PM - 8:50 PM","GITC 2302","Closed","35","35","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14030",""
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","104","14031","M","6:00 PM - 8:50 PM","GITC 2302","Closed","35","35","Nazzaro, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14031",""
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","CHS","16418","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16418","For Colonia High School Students Only"
"202310","IT101","INTRO TO INFORMTN TECHNOLGY","TEE","16426","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16426","For Thomas Edison Energysmart Charter School Students Only"
"202310","IT114","ADV PROGRAM FOR INFOR TECH","002","14032","TR","1:00 PM - 2:20 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14032","Cancelled 11/2/22"
"202310","IT114","ADV PROGRAM FOR INFOR TECH","004","14033","TR","4:00 PM - 5:20 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14033","Cancelled 11/2/22"
"202310","IT114","ADV PROGRAM FOR INFOR TECH","006","14034","MW","11:30 AM - 12:50 PM","CKB 223","Open","35","34","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14034","Students must bring their own device for this section."
"202310","IT114","ADV PROGRAM FOR INFOR TECH","008","14035","MW","1:00 PM - 2:20 PM","TIER 113","Closed","35","35","Toegel, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14035","Students must bring their own device for this section."
"202310","IT114","ADV PROGRAM FOR INFOR TECH","102","16528","M","6:00 PM - 8:50 PM","TIER 111","Open","35","12","Chitikela, Yamini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16528","Students must bring their own device for this section."
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","002","14036","MR","8:30 AM - 9:50 AM","GITC 1202","Open","30","29","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14036",""
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","004","14037","MW","11:30 AM - 12:50 PM","GITC 1202","Closed","30","30","Martino, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14037",""
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","006","14038","MR","2:30 PM - 3:50 PM","GITC 1202","Closed","30","30","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14038",""
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","102","14039","R","6:00 PM - 8:50 PM","GITC 1202","Closed","30","30","Apostolyuk, Vadym","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14039",""
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","104","14040","T","6:00 PM - 8:50 PM","GITC 1202","Closed","30","30","Apostolyuk, Vadym","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14040",""
"202310","IT120","INTRO TO NETWORKING TECHNOLOGY","106","16500","M","6:00 PM - 8:50 PM","GITC 1202","Open","30","29","Martino, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16500",""
"202310","IT201","INFORMATION DESIGN TECHNIQUES","002","14041","M","1:00 PM - 2:20 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14041","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","002","14041","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14041","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","004","14042","M","2:30 PM - 3:50 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14042","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","004","14042","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14042","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","006","14043","R","1:00 PM - 2:20 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14043","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","006","14043","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14043","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","008","14044","R","2:30 PM - 3:50 PM","GITC 3200","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14044","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","008","14044","","TBA"," ","Closed","26","26","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14044","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","IT201","INFORMATION DESIGN TECHNIQUES","010","14045","T","1:00 PM - 2:20 PM","GITC 3200","Closed","26","26","Nersesian, Eric","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14045","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
