"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MATH105","ELEM PROBABILITY & STATISTICS","002","14098","TR","11:30 AM - 12:50 PM","TIER 106","Closed","36","37","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14098",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","004","14099","TF","4:00 PM - 5:20 PM","TIER 107","Closed","36","37","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14099",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","006","14100","TF","2:30 PM - 3:50 PM","KUPF 207","Closed","36","36","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14100",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","008","14101","TR","10:00 AM - 11:20 AM","CKB 222","Closed","36","36","Plastock, Roy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14101",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","010","14102","TR","10:00 AM - 11:20 AM","CULM LECT 3","Closed","36","38","Potocki-Dul, Magdallena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14102",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","012","14103","TF","1:00 PM - 2:20 PM","CKB 222","Closed","36","36","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14103",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","014","14104","TF","1:00 PM - 2:20 PM","CKB 206","Closed","36","36","Martello-Firriolo, Linda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14104",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","102","14105","W","6:00 PM - 8:50 PM","TIER 105","Closed","36","36","Potocki-Dul, Magdallena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14105",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","104","14106","M","6:00 PM - 8:50 PM","KUPF 202","Closed","36","36","Mafarjeh, Bayan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14106",""
"202310","MATH105","ELEM PROBABILITY & STATISTICS","HPH","16427","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16427","For High Point Regional High School Students Only"
