"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","002","14614","M","1:00 PM - 3:50 PM","MALL PC39","Closed","24","24","Rahman, Sahidur","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14614",""
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","102","14615","F","6:00 PM - 8:50 PM","MALL PC39","Open","24","23","Rodriguez, Maximiliano","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14615",""
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","104","16419","R","6:00 PM - 8:50 PM","MALL PC36","Closed","24","24","Lanfrank, Mark","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16419",""
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","EST","16471","","TBA"," ","Closed","0","21","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16471","For Essex School of Technology Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","GRH","16472","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16472","For Glenridge High School Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","HPH","16473","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16473","For High Point Regional High School Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","LIV","16474","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16474","For Livingston High School Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","MAN","16475","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16475","For Manasquan High School Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","MCV","16476","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16476","For Middlesex Vocational Tech High School Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","OCT","16477","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16477","For Ocean County Schools of Technology Students Only"
"202310","MET103","ENGRG GRAPHICS & INTRO TO CAD","OTH","16478","","TBA"," ","Closed","0","10","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16478","For Ocean Township High School Students Only"
