"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","ME215","ENGR MATERLS & PROCESSES","002","14357","T","10:00 AM - 11:55 AM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14357","Cancelled 10/25/22"
"202310","ME215","ENGR MATERLS & PROCESSES","002","14357","W","12:15 PM - 2:10 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14357","Cancelled 10/25/22"
"202310","ME215","ENGR MATERLS & PROCESSES","004","14358","R","12:15 PM - 2:10 PM","ME 232","Closed","13","15","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14358","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","004","14358","T","12:15 PM - 2:10 PM","FMH 203","Closed","13","15","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14358","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","006","14359","F","9:15 AM - 11:10 AM"," ","Cancelled","13","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14359","Cancelled 10/25/22"
"202310","ME215","ENGR MATERLS & PROCESSES","006","14359","R","10:00 AM - 11:55 AM"," ","Cancelled","13","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14359","Cancelled 10/25/22"
"202310","ME215","ENGR MATERLS & PROCESSES","008","14360","R","3:15 PM - 5:10 PM","ME 232","Closed","20","22","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14360","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","008","14360","T","3:15 PM - 5:10 PM","FMH 308","Closed","20","22","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14360","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","010","16154","R","9:15 AM - 11:10 AM","ME 232","Closed","20","20","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16154","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","010","16154","T","9:15 AM - 11:10 AM","CKB 341","Closed","20","20","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16154","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","102","14361","T","6:00 PM - 7:55 PM","ME 221","Closed","20","21","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14361","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","102","14361","T","8:05 PM - 10:00 PM","ME 232","Closed","20","21","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14361","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","ME215","ENGR MATERLS & PROCESSES","104","14362","R","6:00 PM - 7:55 PM","CKB 220","Closed","20","21","Suwattananont, Naruemon","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14362","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
