"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","002","14641","F","1:00 PM - 2:55 PM","CKB 303","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14641","Students must bring their own device for this section."
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","002","14641","MR","2:30 PM - 3:50 PM","KUPF 203","Closed","43","43","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14641","Students must bring their own device for this section."
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","004","14642","F","1:00 PM - 2:55 PM","KUPF 210","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14642","Students must bring their own device for this section."
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","004","14642","MW","1:00 PM - 2:20 PM","KUPF 203","Open","43","42","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14642","Students must bring their own device for this section."
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","102","14643","F","6:00 PM - 7:55 PM","KUPF 105","Open","43","16","Nejatbakhsh, Yousef","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14643","Students must bring their own device for this section."
"202310","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","102","14643","W","6:00 PM - 8:50 PM","KUPF 105","Open","43","16","Nejatbakhsh, Yousef","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14643","Students must bring their own device for this section."
"202310","MGMT190","INTRODUCTION TO BUSINESS","002","14644","TR","4:00 PM - 5:20 PM","KUPF 202","Closed","43","43","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14644",""
"202310","MGMT190","INTRODUCTION TO BUSINESS","CHS","16544","","TBA"," ","Closed","0","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16544","For Woodbridge Township School District Students Only"
"202310","MGMT190","INTRODUCTION TO BUSINESS","HS1","15705","S","9:00 AM - 11:50 AM","CKB 220","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15705","For High School Students Only"
"202310","MGMT216","BUSINESS DATA ANALYTICS","002","14645","MW","1:00 PM - 2:20 PM","CKB 303","Closed","43","43","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14645","Students must bring their own device for this section."
