"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MIS245","INTRO TO MNGMNT INFO SYST","002","14696","TR","11:30 AM - 12:50 PM","TIER LECT 2","Closed","43","43","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14696","Students must bring their own device for this section."
"202310","MIS245","INTRO TO MNGMNT INFO SYST","004","14697","MR","2:30 PM - 3:50 PM","CKB 124","Closed","43","43","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14697","Students must bring their own device for this section."
"202310","MIS245","INTRO TO MNGMNT INFO SYST","452","14698","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14698","Online Course"
"202310","MIS245","INTRO TO MNGMNT INFO SYST","454","14699","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14699","Online Course"
"202310","MIS363","PROJCT MNGMNT FOR MANAGERS","002","14700","TR","4:00 PM - 5:20 PM","CKB 124","Open","43","42","Haies, Frances","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14700","Students must bring a laptop with a Windows Operating System<br />for this section."
"202310","MIS363","PROJCT MNGMNT FOR MANAGERS","102","14701","R","6:00 PM - 8:50 PM","CAB 3052","Open","43","28","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14701",""
"202310","MIS363","PROJCT MNGMNT FOR MANAGERS","452","15690","","TBA"," ","Open","30","9","Chen, Yi","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15690","Restricted to Online Accelerated Degree Completion Only<br />Class meets first half of the semester (1/17/23 - 3/6/23).<br />Students need a computer with Windows operating system."
"202310","MIS385","DATABASE SYSTEMS FOR MANAGERS","002","14702","MR","11:30 AM - 12:50 PM","CKB 303","Open","43","35","Rajamani, Sathish","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14702","Students must bring their own device for this section."
"202310","MIS385","DATABASE SYSTEMS FOR MANAGERS","452","14703","","TBA"," ","Closed","30","30","Brandon, Aylin","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14703","Online Course"
"202310","MIS445","DEC SUPPRT TOOL & TECH MNGRS","002","14704","TR","4:00 PM - 5:20 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14704","Cancelled 01/03/23"
"202310","MIS445","DEC SUPPRT TOOL & TECH MNGRS","452","14705","","TBA"," ","Closed","30","38","Balakesari, Ganes Kesari","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14705","Online Course"
"202310","MIS645","INFORMTN SYSTEMS PRINCIPLES","102","14706","T","6:00 PM - 8:50 PM","KUPF 105","Closed","43","45","Fjermestad, Jerry","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14706","Hybrid Course<br />Face-to-face meetings held alternate weeks<br />starting January 17, 2023<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Students must bring their own device for this section."
"202310","MIS645","INFORMTN SYSTEMS PRINCIPLES","852","14707","","TBA"," ","Closed","30","30","Fjermestad, Jerry","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14707","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","MIS645","INFORMTN SYSTEMS PRINCIPLES","854","14708","","TBA"," ","Open","30","28","Fjermestad, Jerry","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14708","Restricted to Newark Campus Students Only<br />Online Course"
"202310","MIS648","DEC SUPPORT SYS FOR MNGRS","102","14709","M","6:00 PM - 8:50 PM","CAB 3052","Open","43","42","Sylla, Cheickna","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14709","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/30/23<br />https://www.njit.edu/registrar/instructionaldelivery"
