"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MNET303","ADV TECH IN CAD/CAM","102","14718","M","6:00 PM - 10:05 PM","GITC 2311","Closed","20","21","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14718",""
"202310","MNET303","ADV TECH IN CAD/CAM","104","14719","F","6:00 PM - 10:05 PM"," ","Cancelled","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14719","Cancelled 01/10/23"
"202310","MNET315","INDUSTRIAL STATISTICS","002","14720","TR","8:30 AM - 10:35 AM","FMH 403","Closed","30","30","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14720",""
"202310","MNET315","INDUSTRIAL STATISTICS","102","14721","F","6:00 PM - 10:05 PM","CKB 315","Closed","30","30","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14721",""
"202310","MNET318","MNFG PROCESS DESIGN","102","14722","W","6:00 PM - 10:05 PM","GITC 2311","Open","20","13","Makris, Georghios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14722",""
"202310","MNET395","COOP EXPERIENCE I","349","14723","","TBA"," ","Open","19","1","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14723","See department for permission to enroll."
"202310","MNET405","NUMC CONTROL MACHN TOOLS","102","14724","S","9:00 AM - 1:05 PM"," ","Cancelled","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14724","Cancelled 01/05/23"
"202310","MNET414","INDUSTRIAL COST ANALYSIS","002","14725","TR","11:30 AM - 12:50 PM","FMH 310","Closed","25","25","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14725",""
"202310","MNET414","INDUSTRIAL COST ANALYSIS","004","14726","TR","2:30 PM - 3:50 PM","CKB 220","Closed","25","25","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14726",""
"202310","MNET414","INDUSTRIAL COST ANALYSIS","102","14727","W","6:00 PM - 8:50 PM","CKB 206","Closed","25","25","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14727",""
"202310","MNET414","INDUSTRIAL COST ANALYSIS","104","14728","R","6:00 PM - 8:50 PM","CKB 204","Closed","25","25","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14728",""
"202310","MNET416","PRODUCTION SCHEDULING","102","14729","F","6:00 PM - 8:50 PM","CKB 212","Open","30","13","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14729",""
