"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MRKT330","PRINCIPLES OF MARKETING","002","14742","TR","4:00 PM - 5:20 PM","CULM LECT 1","Closed","33","37","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14742",""
"202310","MRKT330","PRINCIPLES OF MARKETING","102","14743","M","6:00 PM - 8:50 PM","FMH 408","Closed","43","44","Aziz, Summaya","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14743",""
"202310","MRKT330","PRINCIPLES OF MARKETING","452","14744","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14744","Online Course"
"202310","MRKT330","PRINCIPLES OF MARKETING","454","14745","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14745","Online Course"
"202310","MRKT330","PRINCIPLES OF MARKETING - HONORS","HM2","14746","TR","4:00 PM - 5:20 PM","CULM LECT 1","Open","10","4","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14746","Honors Course"
"202310","MRKT338","NEW PRODUCT DESIGN & DEVELOP","102","14747","M","6:00 PM - 8:50 PM","KUPF 204","Open","43","19","Elowitz, Ronald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14747",""
"202310","MRKT339","SELLING","102","14748","T","6:00 PM - 8:50 PM","KUPF 206","Open","43","28","Roman, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14748",""
"202310","MRKT430","MARKETING RESEARCH","102","14749","W","6:00 PM - 8:50 PM","CKB 303","Open","43","21","Olotewo, Akpesiri","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14749","Students must bring their own device for this section."
"202310","MRKT435","INTERNATIONAL MARKETING","102","14750","R","6:00 PM - 8:50 PM","KUPF 207","Open","43","16","Olotewo, Akpesiri","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14750",""
"202310","MRKT485","ST: INTERNATIONAL MARKETING STUDIES IN FRANCE","452","14751","","TBA"," ","Closed","0","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14751","Cancelled 12/02/22"
"202310","MRKT485","ST: INTERNATIONAL MARKETING STUDIES IN FRANCE - HONORS","HM2","14752","","TBA"," ","Closed","0","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14752","Cancelled 12/02/22"
"202310","MRKT490","INDEPENDENT STUDY IN MARKETING","894","16119","","TBA"," ","Open","19","2","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16119","See department for permission to enroll."
"202310","MRKT620","GLOBAL MARKETING MANAGEMENT","102","14753","R","6:00 PM - 8:50 PM","KUPF 210","Open","43","42","Mehta, Rajiv","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14753","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/19/23<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","MRKT620","GLOBAL MARKETING MANAGEMENT","852","14754","","TBA"," ","Open","30","26","Thomas, Ellen","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14754","Restricted to Virtual Campus Students Only<br />Online Course"
"202310","MRKT631","MARKETING RESEARCH","852","14755","","TBA"," ","Open","30","22","Bizel, Gulhan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14755","Restricted to Newark Campus Students Only<br />Online Course"
"202310","MRKT632","STRATEGIC MRKT MANAGEMENT","852","14756","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14756","Cancelled 12/23/22"
"202310","MRKT636","DES/DEV HIGH TECH PROD","852","14757","","TBA"," ","Open","30","23","Elowitz, Ronald","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14757","Restricted to Newark Campus Students Only<br />Online Course"
"202310","MRKT638","SALES MGMT FOR TECH PROF","852","14758","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14758","Cancelled 01/03/23"
"202310","MRKT645","DIGITAL MARKETING STRATEGY","852","14759","","TBA"," ","Closed","30","30","Fresneda Fernandez, Jorge Eduardo","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14759","Restricted to Newark Campus Students Only<br />Online Course"
