"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MTEN101","INTRO TO MATERIALS ENG","002","16231","M","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16231","Cancelled 01/19/23"
"202310","MTEN201","INTRO PRINC OF MATERIAL ENGR","002","14761","MW","10:00 AM - 11:20 AM","CKB 217","Open","30","23","Zhao, Mengqiang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14761",""
"202310","MTEN491","RESEARCH & INDEPENDENT STUDY I","217","16522","","TBA"," ","Open","19","2","Guvendiren, Murat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16522","See department for permission to enroll."
"202310","MTEN613","CHARACTERIZATION OF MATERIALS","102","14762","R","6:00 PM - 8:50 PM","ME 221","Open","30","10","Schoenitz, Mirko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14762",""
"202310","MTEN633","MACHINE LEARNING FOR ENGINEERS","852","16261","","TBA"," ","Open","30","9","Dave, Rajesh","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16261","Restricted to Newark Campus Students Only<br />Online Course"
"202310","MTEN633","MACHINE LEARNING FOR ENGINEERS","854","16262","","","","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16262","Cancelled 01/26/23"
"202310","MTEN700B","MASTER'S PROJECT","071","14764","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14764","See department for permission to enroll."
"202310","MTEN700B","MASTER'S PROJECT","080","14765","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14765","See department for permission to enroll."
"202310","MTEN700B","MASTER'S PROJECT","082","14766","","TBA"," ","Open","19","0","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14766","See department for permission to enroll."
"202310","MTEN700B","MASTER'S PROJECT","083","14767","","TBA"," ","Open","19","0","Cimino, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14767","See department for permission to enroll."
"202310","MTEN700B","MASTER'S PROJECT","085","14768","","TBA"," ","Open","19","0","Young, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14768","See department for permission to enroll."
"202310","MTEN700B","MASTER'S PROJECT","087","14769","","TBA"," ","Open","19","0","Sebastian, Donald","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14769","See department for permission to enroll."
