"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","MTSE301","MATERIALS SCIENCE","002","14922","MR","2:30 PM - 3:50 PM"," ","Cancelled","45","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14922","Cancelled 11/22/22"
"202310","MTSE590","GRAD COOP WORK EXP I","792","14923","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14923","See department for permission to enroll."
"202310","MTSE590","GRAD COOP WORK EXP I","808","14924","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14924","See department for permission to enroll."
"202310","MTSE591","GRAD COOP WORK EXPERIENCE II","792","14925","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14925","See department for permission to enroll."
"202310","MTSE591","GRAD COOP WORK EXPERIENCE II","808","14926","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14926","See department for permission to enroll."
"202310","MTSE593","GRADUATE CO-OP WORK EXP IV","792","14927","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14927","See department for permission to enroll."
"202310","MTSE602","THERMODYNAMICS OF MATERL","102","14928","T","6:00 PM - 8:50 PM","FMH 209","Open","25","14","Tyson, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14928",""
"202310","MTSE690","DIRECTED STUDY IN MTSE","792","14929","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14929","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","445","14930","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14930","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","792","14931","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14931","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","796","14932","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14932","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","804","14933","","TBA"," ","Open","19","0","Federici, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14933","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","808","14934","","TBA"," ","Open","19","0","Tyson, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14934","See department for permission to enroll."
"202310","MTSE700B","MASTER'S PROJECT","828","14935","","TBA"," ","Open","19","0","Prodan, Camelia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14935","See department for permission to enroll."
"202310","MTSE701B","MASTER'S THESIS","071","14936","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14936","See department for permission to enroll."
"202310","MTSE701B","MASTER'S THESIS","072","14937","","TBA"," ","Open","19","0","Jaffe, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14937","See department for permission to enroll."
"202310","MTSE701B","MASTER'S THESIS","155","14938","","TBA"," ","Open","19","0","Iqbal, Zafar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14938","See department for permission to enroll."
"202310","MTSE701B","MASTER'S THESIS","253","14939","","TBA"," ","Open","19","0","Grebel, Haim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14939","See department for permission to enroll."
"202310","MTSE701B","MASTER'S THESIS","270","14940","","TBA"," ","Open","19","0","Sosnowski, Marek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=14940","See department for permission to enroll."
