"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PE115","STRNGTH TRNING & CONDING","002","15691","TR","11:30 AM - 12:50 PM","DHRH FIT","Closed","20","20","Ruela, Ariana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15691","Class meets first half of the semester."
"202310","PE115","STRNGTH TRNING & CONDING","004","15692","F","8:30 AM - 9:50 AM","DHRH FIT","Open","20","19","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15692",""
"202310","PE115","STRNGTH TRNING & CONDING","006","15693","TR","8:30 AM - 9:50 AM","DHRH FIT","Open","20","7","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15693","Class meets first half of the semester."
"202310","PE117","JOGGING","002","15708","TR","1:00 PM - 2:20 PM","WEC TRACK","Closed","20","20","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15708","Class meets last half of the semester."
"202310","PE118","WALKING","002","15694","TR","1:00 PM - 2:20 PM","WEC TRACK","Closed","20","20","Lange, Payce","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15694","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","002","15695","M","4:30 PM - 5:50 PM","DHRH FIT","Closed","20","20","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15695","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","004","15696","MW","10:00 AM - 11:20 AM","DHRH FIT","Open","20","17","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15696","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","006","15697","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","20","18","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15697","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","008","15698","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","20","19","Reilly, Daniel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15698","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","010","15699","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","20","13","Uy, Matthew","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15699","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","102","15700","M","6:00 PM - 7:20 PM","WEC FITCENTR","Open","20","19","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15700","Class meets first half of the semester."
"202310","PE129","INDIVIDUALIZED FITNESS","104","15701","W","6:00 PM - 7:20 PM","WEC FITCENTR","Open","20","19","Nieves, Charlie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15701","Class meets first half of the semester."
"202310","PE133","SWIM FOR HEALTH","002","15724","T","10:00 AM - 11:20 AM","WEC POOL","Open","12","11","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15724",""
"202310","PE133","SWIM FOR HEALTH","004","16092","T","11:30 AM - 12:50 PM","WEC POOL","Open","12","11","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16092",""
"202310","PE135","BEGINNING SWIMMING","002","16093","R","11:30 AM - 12:50 PM","WEC POOL","Open","12","10","Farina, Ronald","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16093",""
"202310","PE136","INTRO TO KARATE","002","15029","T","7:00 PM - 8:20 PM","WEC GRPEXER","Closed","15","15","DelColle, Gerard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15029",""
"202310","PE137","INTERMEDIATE KARATE","102","15030","R","7:00 PM - 8:20 PM","WEC GRPEXER","Open","20","9","DelColle, Gerard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15030",""
"202310","PE139","INDIVIDUALIZED FITNESS II","002","15031","","TBA"," ","Closed","20","20","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15031","Department Permission Required"
