"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PHB701B","MASTER'S THESIS","080","15044","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15044","See department for permission to enroll."
"202310","PHB701B","MASTER'S THESIS","090","15045","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15045","See department for permission to enroll."
"202310","PHB701B","MASTER'S THESIS","111","15046","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15046","See department for permission to enroll."
"202310","PHB701B","MASTER'S THESIS","116","15047","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15047","See department for permission to enroll."
"202310","PHB701C","MASTER'S THESIS","080","15048","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15048","See department for permission to enroll."
"202310","PHB701C","MASTER'S THESIS","090","15049","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15049","See department for permission to enroll."
"202310","PHB701C","MASTER'S THESIS","111","15050","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15050","See department for permission to enroll."
"202310","PHB701C","MASTER'S THESIS","116","15051","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15051","See department for permission to enroll."
"202310","PHB725","INDEPENDENT STUDY I","080","15052","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15052","See department for permission to enroll."
"202310","PHB725","INDEPENDENT STUDY I","090","15053","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15053","See department for permission to enroll."
"202310","PHB725","INDEPENDENT STUDY I","111","15054","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15054","See department for permission to enroll."
"202310","PHB725","INDEPENDENT STUDY I","116","15055","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15055","See department for permission to enroll."
"202310","PHB726","INDEPENDENT STUDY II","080","15056","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15056","See department for permission to enroll."
"202310","PHB726","INDEPENDENT STUDY II","090","15057","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15057","See department for permission to enroll."
"202310","PHB726","INDEPENDENT STUDY II","111","15058","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15058","See department for permission to enroll."
"202310","PHB726","INDEPENDENT STUDY II","116","15059","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15059","See department for permission to enroll."
