"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PHEN590","GRADUATE CO-OP WORK EXPER I","084","15060","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15060","See department for permission to enroll."
"202310","PHEN591","GRADUATE CO-OP WORK EXPER II","084","15061","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15061","See department for permission to enroll."
"202310","PHEN592","GRADUATE CO-OP WORK EXPER III","084","15062","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15062","See department for permission to enroll."
"202310","PHEN593","GRADUATE CO-OP WORK EXP IV","084","15063","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15063","See department for permission to enroll."
"202310","PHEN604","VALIDATION& PHARM INDSTRY","852","15064","","TBA"," ","Open","30","28","Melamud, Paul","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15064","Restricted to Newark Campus Students Only<br />Online Course"
"202310","PHEN605","PHARMACEUTICAL PACKGING TECH","852","15065","","TBA"," ","Open","30","14","Orosz, Stephen","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15065","Restricted to Newark Campus Students Only<br />Online Course"
"202310","PHEN618","PRINC PHARMACOKINETICS &DRUG","102","15066","M","6:00 PM - 8:50 PM","FMH 306","Open","30","9","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15066",""
"202310","PHEN701B","MASTER'S THESIS","080","15067","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15067","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","090","15068","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15068","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","111","15069","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15069","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","116","15070","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15070","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","445","15071","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15071","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","486","15072","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15072","See department for permission to enroll."
"202310","PHEN701B","MASTER'S THESIS","487","15073","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15073","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","080","15074","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15074","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","090","15075","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15075","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","111","15076","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15076","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","116","15077","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15077","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","445","15078","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15078","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","486","15079","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15079","See department for permission to enroll."
"202310","PHEN701C","MASTER'S THESIS","487","15080","","TBA"," ","Open","19","0","Dreyzin, Edward","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15080","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","080","15081","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15081","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","090","15082","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15082","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","111","15083","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15083","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","156","15084","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15084","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","391","15085","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15085","See department for permission to enroll."
"202310","PHEN725","INDEPENDENT STUDY","486","15086","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15086","See department for permission to enroll."
