"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PHIL334","ENGINEERING ETHICS","002","15087","TR","10:00 AM - 11:20 AM","FMH 319","Closed","30","30","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15087",""
"202310","PHIL334","ENGINEERING ETHICS","004","15088","TR","4:00 PM - 5:20 PM","FMH 405","Closed","30","31","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15088",""
"202310","PHIL334","ENGINEERING ETHICS","006","15089","MW","1:00 PM - 2:20 PM","FMH 313","Closed","30","30","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15089",""
"202310","PHIL334","ENGINEERING ETHICS","008","15890","MR","2:30 PM - 3:50 PM","FMH 314","Closed","30","30","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15890",""
"202310","PHIL334","ENGINEERING ETHICS","102","15090","T","6:00 PM - 8:50 PM","FMH 205","Closed","30","30","Heap, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15090",""
"202310","PHIL334","ENGINEERING ETHICS","452","15091","","TBA"," ","Closed","30","30","Estrada, Daniel","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15091","Online Course"
"202310","PHIL334","ENGINEERING ETHICS","454","15092","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15092","Online Course"
"202310","PHIL334","ENGINEERING ETHICS","456","15093","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15093","Online Course"
"202310","PHIL334","ENGINEERING ETHICS","458","15094","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15094","Online Course"
"202310","PHIL334","ENGINEERING ETHICS","460","15095","","TBA"," ","Closed","30","30","George, Amber","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15095","Online Course"
"202310","PHIL334","ENGINEERING ETHICS - HONORS","H02","15096","TR","10:00 AM - 11:20 AM","CULM 110","Closed","30","30","See, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15096","Honors Course"
"202310","PHIL337","WORLD RELIGIONS","002","15097","TR","1:00 PM - 2:20 PM","FMH 408","Closed","30","30","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15097",""
"202310","PHIL337","WORLD RELIGIONS","004","15098","TR","10:00 AM - 11:20 AM","TIER 106","Closed","30","30","Brooks, Charles","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15098",""
"202310","PHIL351","BIOMEDICAL ETHICS","452","16068","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16068","Online Course"
"202310","PHIL351","BIOMEDICAL ETHICS","454","16069","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16069","Online Course"
"202310","PHIL351","BIOMEDICAL ETHICS","456","16421","","TBA"," ","Closed","30","30","Deek, Andrew","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16421","Online Course"
"202310","PHIL351","BIOMEDICAL ETHICS - HONORS","H02","15099","TR","8:30 AM - 9:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15099","Cancelled 01/05/23"
"202310","PHIL351","BIOMEDICAL ETHICS - HONORS","H04","16512","TF","8:30 AM - 9:50 AM","CKB 315","Open","30","20","McCrossin, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16512","Honors Course"
