"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PHYS102","GENERAL PHYSICS","002","15100","MR","8:30 AM - 9:50 AM","KUPF 202","Open","43","34","Behi, Mohammad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15100","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","004","15101","R","2:30 PM - 3:50 PM","KUPF 210","Open","43","29","Gokce, Oktay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15101","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","004","15101","T","11:30 AM - 12:50 PM","KUPF 202","Open","43","29","Gokce, Oktay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15101","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","006","15102","M","11:30 AM - 12:50 PM","KUPF 202","Open","43","25","Gokce, Oktay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15102","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","006","15102","R","2:30 PM - 3:50 PM","KUPF 210","Open","43","25","Gokce, Oktay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15102","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","102","15103","M","6:00 PM - 8:50 PM","TIER 106","Open","39","38","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15103","Students must also register for LAB.<br />Withdrawal from LEC requires withdrawal from LAB.<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202310","PHYS102","GENERAL PHYSICS","PTH","16483","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16483","For Parsippany-Troy Hills High School Students Only"
"202310","PHYS102A","GENERAL PHYSICS LAB","002","15104","F","1:00 PM - 2:55 PM","TIER 409","Closed","32","32","Yazdi Karimi, Homa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15104","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202310","PHYS102A","GENERAL PHYSICS LAB","004","15105","M","1:45 PM - 3:40 PM","TIER 409","Open","32","31","Yazdi Karimi, Homa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15105","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202310","PHYS102A","GENERAL PHYSICS LAB","006","15106","M","8:30 AM - 10:25 AM","TIER 409","Open","32","25","Yazdi Karimi, Homa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15106","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202310","PHYS102A","GENERAL PHYSICS LAB","102","15107","M","8:05 PM - 10:00 PM"," ","Cancelled","32","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15107","Cancelled 01/05/23"
"202310","PHYS102A","GENERAL PHYSICS LAB","104","15108","F","8:05 PM - 10:00 PM","TIER 409","Open","32","23","Amarasinghe, Sandun","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15108","Students must also register for LECTURE.<br />Withdrawal from LAB requires withdrawal from LEC."
"202310","PHYS102A","GENERAL PHYSICS LAB","PTH","16484","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16484","For Parsippany-Troy Hills High School Students Only"
