"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","002","15427","TR","10:00 AM - 11:20 AM","ME 221","Closed","43","43","Tyrol, Katherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15427",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","004","15428","TF","1:00 PM - 2:20 PM","KUPF 107","Closed","43","43","Pople, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15428",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","006","15429","MW","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15429","Cancelled 11/8/22"
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","008","15430","M","1:00 PM - 2:20 PM","KUPF 106","Closed","43","43","Conklin, Nicole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15430",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","008","15430","W","1:00 PM - 2:20 PM","KUPF 107","Closed","43","43","Conklin, Nicole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15430",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","102","15431","T","6:00 PM - 8:50 PM","TIER LECT 1","Closed","43","43","Venchkoski, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15431",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","104","15432","T","6:00 PM - 8:50 PM","CKB 341","Closed","30","30","Conklin, Nicole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15432",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","106","15433","S","9:00 AM - 11:50 AM","KUPF 204","Closed","43","43","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15433",""
"202310","PSY210","INTRODUCTION TO PSYCHOLOGY","108","15434","S","1:00 PM - 3:50 PM","KUPF 204","Closed","43","43","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15434",""
"202310","PSY215","BIOLOGY OF BEHAVIOR","002","15435","MW","8:30 AM - 9:50 AM","CKB 315","Open","30","25","Conklin, Nicole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15435",""
"202310","PSY333","PRINCIPLES OF PSYCHOMETRICS","102","15436","T","6:00 PM - 8:50 PM","CKB 223","Open","30","15","Harnisher, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15436",""
"202310","PSY359","FOUNDATIONS OF CYBERPSYCHOLOGY","002","15437","TF","10:00 AM - 11:20 AM","FMH 407","Closed","30","31","Pople, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15437",""
"202310","PSY359","FOUNDATIONS OF CYBERPSYCHOLOGY","004","15438","TF","8:30 AM - 9:50 AM","FMH 407","Closed","30","32","Pople, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15438",""
"202310","PSY359","FOUNDATIONS OF CYBERPSYCHOLOGY","006","15439","TR","4:00 PM - 5:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15439","Cancelled 10/25/22"
"202310","PSY361","FOUND OF CYBERPSYCHOLOGY II","002","15440","TR","4:00 PM - 5:20 PM","TIER 114","Open","25","17","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15440",""
"202310","PSY389","PSYCHOPATHOLOGY","102","15441","W","6:00 PM - 8:50 PM","CKB 207","Closed","30","30","Pople, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15441",""
"202310","PSY490","CO-OP WORK EXPERIENCE","667","15442","","TBA"," ","Open","19","1","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15442","See department for permission to enroll."
"202310","PSY491","RESEARCH AND INDEPENDENT STUDY","667","15443","","TBA"," ","Open","19","4","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15443","See department for permission to enroll."
"202310","PSY495","SENIOR SEMINAR","667","15444","","TBA"," ","Open","19","0","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15444","See department for permission to enroll."
