"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","SET200","INTRODUCTION TO GEOMATICS","102","15721","M","6:00 PM - 8:50 PM","FMH 309","Open","30","15","Potts, Laramie","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15721","Hybrid Course<br />See syllabus for meetings held remotely.<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","SET200A","INTRODUCTION TO GEOMATICS LAB","102","15445","S","9:00 AM - 2:50 PM","GITC 2315C","Open","28","12","Todosov, Angel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15445","Meetings held alternate weeks starting: TBD."
"202310","SET203","INTRO TO REMOTE SENSING SCI &","452","15446","","TBA"," ","Open","28","22","Rybowski, Ronen","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15446","Online Course"
"202310","SET360","DIGITAL SURVEYING METHODS","102","15722","T","6:00 PM - 8:50 PM","MALL PC36","Open","28","12","Todosov, Angel","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15722","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/17/23<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202310","SET401","FUNDAMENTALS OF GEODESY","452","15447","","TBA"," ","Cancelled","28","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15447","Cancelled 01/17/23"
"202310","SET407","BOUNDARY LINE ANALYSIS","102","15723","S","9:00 AM - 2:50 PM","MALL PC39","Open","28","16","Vince, Joseph","Hybrid","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15723","Hybrid Course<br />Lab portion meets alternate weeks starting: 1/21/23<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","SET407","BOUNDARY LINE ANALYSIS","102","15723","","TBA"," ","Open","28","16","Vince, Joseph","Hybrid","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15723","Hybrid Course<br />Lab portion meets alternate weeks starting: 1/21/23<br />https://www.njit.edu/registrar/instructionaldelivery"
"202310","SET420","LAND INFORMATION SYSTEMS","452","15448","","TBA"," ","Closed","20","21","Jin, Huiran","Online Newark","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15448","Online Course"
"202310","SET423","REMOTE SENSING OF THE ENVIRONM","102","15449","T","6:00 PM - 8:50 PM"," ","Cancelled","28","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15449","Cancelled 01/10/23"
"202310","SET433","REMOTE SENSING DIGITAL IMAGE","102","15450","R","6:00 PM - 8:50 PM"," ","Cancelled","28","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15450","Cancelled 01/10/23"
"202310","SET490","SENIOR PROJECT IN SURVEYING","102","15451","W","6:00 PM - 7:55 PM","CKB 126","Open","20","7","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15451",""
"202310","SET491","SPECIAL PROJECTS IN SURVEYING","359","15452","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15452","See department for permission to enroll."
"202310","SET492","SPECIAL PROJECTS IN SURVEYING","359","15453","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15453","See department for permission to enroll."
"202310","SET493","SPECIAL PROJECTS IN SURVEYING","359","15454","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15454","See department for permission to enroll."
