"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","STS201","UND TECH SOC: INTRO STS","002","15455","TF","2:30 PM - 3:50 PM","KUPF 107","Closed","43","43","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15455",""
"202310","STS201","UND TECH SOC: INTRO STS","004","15456","TF","4:00 PM - 5:20 PM","CKB 212","Open","30","29","Bozicevic, Miran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15456",""
"202310","STS201","UND TECH SOC: INTRO STS","006","15457","MW","10:00 AM - 11:20 AM","CKB 212","Closed","30","30","Polsky, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15457",""
"202310","STS201","UND TECH SOC: INTRO STS","008","15458","MW","11:30 AM - 12:50 PM","KUPF 204","Closed","43","43","Khichi, Narendra-Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15458",""
"202310","STS201","UND TECH SOC: INTRO STS","010","15459","MR","2:30 PM - 3:50 PM","KUPF 107","Open","43","40","Pullum, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15459",""
"202310","STS201","UND TECH SOC: INTRO STS","012","15460","MR","2:30 PM - 3:50 PM","CKB 207","Closed","30","30","See, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15460",""
"202310","STS201","UND TECH SOC: INTRO STS","014","15461","TR","10:00 AM - 11:20 AM","ME 224","Closed","43","43","Levine, Derek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15461",""
"202310","STS201","UND TECH SOC: INTRO STS","102","15462","T","6:00 PM - 8:50 PM","CKB 207","Closed","30","30","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15462",""
"202310","STS205","INTRO TO RESEARCH METHODS","002","15463","TR","4:00 PM - 5:20 PM","CKB 341","Closed","25","25","Collins, Regina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15463",""
"202310","STS205","INTRO TO RESEARCH METHODS - HONORS","H02","15464","TR","8:30 AM - 9:50 AM","DHRH 210","Open","20","17","Hunt, Theresa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15464","Honors Course"
"202310","STS221","INTRODUCTION TO SOCIOLOGY","002","15465","TR","4:00 PM - 5:20 PM","CKB 114","Open","30","29","Tyrol, Katherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15465",""
"202310","STS221","INTRODUCTION TO SOCIOLOGY","004","15466","MR","1:00 PM - 2:20 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15466","Cancelled 10/27/22"
