"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","THTR101","LIVING THEATRE","002","15496","M","2:30 PM - 3:50 PM","KUPF 110","Closed","15","15","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15496",""
"202310","THTR101","LIVING THEATRE","002","15496","W","1:00 PM - 2:20 PM","KUPF 110","Closed","15","15","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15496",""
"202310","THTR212","FROM PAGE TO STAGE","002","15497","TR","10:00 AM - 11:20 AM","KUPF 110","Open","15","12","Ribeiro, Lillian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15497",""
"202310","THTR217","IMPROVISATIONAL THTR-LONG FORM","002","15498","TR","1:00 PM - 2:20 PM","KUPF 110","Closed","10","13","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15498",""
"202310","THTR221","JAZZ ENSEMBLE","102","15501","T","6:00 PM - 8:50 PM","CKB 116","Closed","0","4","Rimelis, David","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15501","Theatre Director Permission Required"
"202310","THTR221","STRING ENSEMBLE","004","15500","R","3:00 PM - 5:50 PM","CKB 116","Closed","0","4","Sweet, Christine","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15500","Theatre Director Permission Required"
"202310","THTR221","WIND ENSEMBLE","002","15499","W","3:00 PM - 5:50 PM","CKB 116","Closed","0","18","Santoro, Nicholas","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15499","Theatre Director Permission Required"
"202310","THTR262","PERFORMANCE II","002","16163","TR","10:00 AM - 11:20 AM","CULM 411","Closed","10","17","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16163",""
"202310","THTR315","THEATRE HISTORY II","002","15502","MW","10:00 AM - 11:20 AM","KUPF 110","Closed","15","18","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15502",""
"202310","THTR365","PRINCIPLES OF PLAYWRITING","002","15503","TR","11:30 AM - 12:50 PM","KUPF 110","Closed","12","13","Rittenhouse, Michele","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15503",""
"202310","THTR396","INTERNSHIP-THEATER","661","15504","","TBA"," ","Open","19","0","Rittenhouse, Michele","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15504","See department for permission to enroll."
"202310","THTR465","PERFORMANCE III","002","16064","TR","10:00 AM - 11:20 AM"," ","Cancelled","10","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16064","Cancelled 10/27/22"
"202310","THTR480","INDEPENDENT THEATRE PRACTICUM","661","15505","","TBA"," ","Closed","0","2","Rittenhouse, Michele","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15505","Instructor Permission Required"
"202310","THTR483","INDEPENDENT STUDY IN THEATER I","661","15506","","TBA"," ","Open","19","0","Rittenhouse, Michele","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15506","See department for permission to enroll."
"202310","THTR484","INDEPENDENT STUDY THEATER II","661","15507","","TBA"," ","Open","19","2","Rittenhouse, Michele","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15507","See department for permission to enroll."
