"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","USYS725","INDEPENDENT STUDY I","002","15579","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15579","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","003","15580","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15580","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","004","15581","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15581","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","008","15582","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15582","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","012","15583","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15583","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","016","15584","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15584","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","021","15585","","TBA"," ","Open","19","0","Ko, Won Hee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15585","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","033","15586","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15586","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","101","15587","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15587","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","103","15588","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15588","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","105","15589","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15589","See department for permission to enroll."
"202310","USYS725","INDEPENDENT STUDY I","107","15590","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15590","See department for permission to enroll."
"202310","USYS726","INDEPENDENT STUDY II","004","15591","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15591","See department for permission to enroll."
"202310","USYS726","INDEPENDENT STUDY II","012","15592","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15592","See department for permission to enroll."
"202310","USYS726","INDEPENDENT STUDY II","016","15593","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15593","See department for permission to enroll."
"202310","USYS726","INDEPENDENT STUDY II","021","15594","","TBA"," ","Open","19","0","Ko, Won Hee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15594","See department for permission to enroll."
"202310","USYS726","INDEPENDENT STUDY II","107","15595","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15595","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","002","15596","","TBA"," ","Open","19","1","Celik, Zeynep","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15596","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","004","15597","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15597","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","006","15598","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15598","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","008","15599","","TBA"," ","Open","19","0","Zarzycki, Andrzej","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15599","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","012","15600","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15600","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","016","15601","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15601","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","039","15602","","TBA"," ","Open","19","0","Altin, Ersin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15602","See department for permission to enroll."
"202310","USYS790A","DISSERTATION RESEARCH","645","15603","","TBA"," ","Open","19","1","Cohen, Maurie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15603","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","002","15604","","TBA"," ","Open","19","0","Celik, Zeynep","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15604","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","003","15605","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15605","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","004","15606","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15606","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","008","15607","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15607","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","012","15608","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15608","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","016","15609","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15609","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","033","15610","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15610","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","101","15611","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15611","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","103","15612","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15612","See department for permission to enroll."
"202310","USYS790B","DISSERTATION RESEARCH","105","15613","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15613","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","002","15614","","TBA"," ","Open","19","0","Celik, Zeynep","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15614","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","003","15615","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15615","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","004","15616","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15616","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","008","15617","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15617","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","012","15618","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15618","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","016","15619","","TBA"," ","Open","19","0","Narahara, Taro","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15619","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","033","15620","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15620","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","101","15621","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15621","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","103","15622","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15622","See department for permission to enroll."
"202310","USYS790C","DISSERTATION RESEARCH","105","15623","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15623","See department for permission to enroll."
"202310","USYS790D","DISSERTATION RESEARCH","002","15624","","TBA"," ","Open","19","0","Celik, Zeynep","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15624","See department for permission to enroll."
"202310","USYS790D","DISSERTATION RESEARCH","003","15625","","TBA"," ","Open","19","0","Esperdy, Gabrielle","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15625","See department for permission to enroll."
"202310","USYS790D","DISSERTATION RESEARCH","004","15626","","TBA"," ","Open","19","0","","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15626","See department for permission to enroll."
"202310","USYS790D","DISSERTATION RESEARCH","008","15627","","TBA"," ","Open","19","0","","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15627","See department for permission to enroll."
"202310","USYS790D","DISSERTATION RESEARCH","012","15628","","TBA"," ","Open","19","0","Kim, Hyojin","Face-to-Face","9","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15628","See department for permission to enroll."
