"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202310","YWCC207","COMPUTING & EFFECTIVE COM","002","15652","M","10:00 AM - 11:20 AM","CKB 320","Closed","25","25","McGraw, Cathlene","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15652",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","004","15653","M","1:00 PM - 2:20 PM","CKB 314","Closed","25","25","McGraw, Cathlene","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15653",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","006","15654","M","2:30 PM - 3:50 PM","CKB 314","Closed","25","25","Bell, Michele","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15654",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","008","15655","T","10:00 AM - 11:20 AM","CKB 126","Closed","25","25","Stritehoff-Piro, Pamela","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15655",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","010","15656","T","11:30 AM - 12:50 PM","CKB 223","Closed","25","26","Nammour, Shannon","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15656",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","012","15657","T","1:00 PM - 2:20 PM","CKB 212","Closed","25","25","Bell, Michele","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15657",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","014","15658","T","2:30 PM - 3:50 PM","CKB 124","Closed","25","25","Bell, Michele","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15658",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","016","15659","T","2:30 PM - 3:50 PM","CKB 310","Closed","25","25","Nammour, Shannon","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15659",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","018","15660","R","10:00 AM - 11:20 AM","CKB 219","Closed","25","25","Bonds, Tatyana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15660",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","020","15661","R","10:00 AM - 11:20 AM","CKB 223","Closed","25","25","Stritehoff-Piro, Pamela","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15661",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","022","15662","R","11:30 AM - 12:50 PM","CKB 206","Closed","25","25","McCormick, Shanna","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15662",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","024","15663","R","1:00 PM - 2:20 PM","CKB 220","Closed","25","25","Bonds, Tatyana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15663",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","026","15664","R","2:30 PM - 3:50 PM","CKB 226","Open","25","24","McCormick, Shanna","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15664",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","028","16439","W","1:00 PM - 2:20 PM","CKB 126","Closed","25","25","Nammour, Shannon","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=16439",""
"202310","YWCC207","COMPUTING & EFFECTIVE COM","102","15665","W","6:00 PM - 7:20 PM"," ","Cancelled","25","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15665","Cancelled 11/2/22"
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","002","15666","F","8:30 AM - 9:50 AM","CKB 222","Closed","20","20","Haroon, Tanweer","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15666",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","004","15667","F","10:00 AM - 11:20 AM","CKB 223","Closed","20","20","Haroon, Tanweer","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15667",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","006","15668","F","1:00 PM - 2:20 PM","CKB 341","Closed","20","20","Rajamani, Sathish","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15668",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","008","15669","F","2:30 PM - 3:50 PM","CKB 220","Closed","20","20","Rajamani, Sathish","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15669",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","010","15670","T","4:00 PM - 5:20 PM","CKB 223","Closed","20","20","Munn, Carol","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15670",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","102","15671","M","6:00 PM - 7:20 PM","CKB 317","Closed","20","20","Lewars, Esther","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15671",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","104","15672","M","7:30 PM - 8:50 PM","CKB 317","Closed","20","20","Lewars, Esther","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15672",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","106","15673","M","6:00 PM - 7:20 PM","CKB 223","Closed","20","20","Wolodkowicz, Richard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15673","Online Course"
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","108","15674","M","7:30 PM - 8:50 PM","CKB 223","Closed","20","20","Wolodkowicz, Richard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15674",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","110","15675","T","6:00 PM - 7:20 PM","FMH 319","Closed","20","20","Munn, Carol","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15675",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","112","15676","T","6:00 PM - 7:20 PM","CKB 317","Open","20","18","Vaish, Prabhat","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15676",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","114","15677","T","7:30 PM - 8:50 PM","CKB 317","Closed","20","20","Vaish, Prabhat","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15677",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","116","15678","W","6:00 PM - 7:20 PM","CKB 223","Closed","20","20","Wolodkowicz, Richard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15678",""
"202310","YWCC307","PROFESSIONAL DEV IN COMPUTING","118","15679","W","7:30 PM - 8:50 PM","CKB 223","Closed","20","20","Wolodkowicz, Richard","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Spring&crn-1=15679",""
