"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202350","ARCH110","TOOLS AND TECHNIQUES I","011","51322","MWR","1:00 PM - 4:00 PM","CKB 310","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51322","First Summer Session (05/22/2023-06/26/2023)"
"202350","ARCH211","HISTORY OF ARCHITECTURE II","450","51461","","TBA"," ","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51461",""
"202350","ARCH303","STRUCTURES I","450","51361","","TBA"," ","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51361",""
"202350","ARCH304","STRUCTURES II","450","51362","","TBA"," ","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51362",""
"202350","ARCH324","LANDSCAPE AND URBANISM","011","51319","MWR","1:00 PM - 4:00 PM","CKB 126","Open","25","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51319","First Summer Session (05/23/22-06/27/22)"
"202350","ARCH337","BUILDING INFORMATION MODELING","131","51524","MR","6:00 PM - 8:15 PM"," ","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51524","Full Summer Session (05/22/2023-08/08/2023)"
"202350","ARCH410","CO-OP WORK EXPERIENCE II","031","50815","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50815","Full Summer Session"
"202350","ARCH463","OPTIONS STUDIO I","031","50972","","TBA"," ","Open","5","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50972","Full Summer Session (05/22/2023-08/08/2023)<br />Study Abroad: Austria<br />Please see the syllabus for scheduled meeting times<br />of Newark studio sessions<br />Department permission required"
"202350","ARCH463","OPTIONS STUDIO I","032","50973","","TBA"," ","Open","5","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50973","Full Summer Session (05/22/2023-08/08/2023)<br />Study Abroad: Sweden<br />Please see the syllabus for scheduled meeting times<br />of  Newark studio sessions<br />Department permission required"
"202350","ARCH464","OPTIONS STUDIO II","031","50975","","TBA"," ","Open","5","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50975","Full Summer Session (05/22/2023-08/08/2023)<br />Study Abroad: Austria<br />Please see the syllabus for scheduled meeting times<br />of Newark studio sessions<br />Department permission required"
"202350","ARCH464","OPTIONS STUDIO II","032","50976","","TBA"," ","Open","5","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50976","Full Summer Session (05/22/2023-08/08/2023)<br />Study Abroad: Sweden<br />Please see the syllabus for scheduled meeting times<br />of Newark studio sessions<br />Department permission required"
"202350","ARCH483","ST:ARCHITECTURE TECHNOLOGY","021","51514","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51514","Study Abroad Gothenberg, Sweden<br />Second Summer Session (07/05/2023-08/08/2023)<br />Department Permission Required"
