"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202350","CE200","SURVEYING","041","51512","MW","6:00 PM - 9:00 PM"," ","Open","20","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51512","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE200A","SURVEYING LAB","141","51513","S","9:00 AM - 3:00 PM"," ","Open","20","0","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51513","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE200A","SURVEYING LAB","141","51513","","TBA"," ","Open","20","0","","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51513","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE210","CONSTRN MATRLS & PROCDRS","141","51058","MW","6:00 PM - 9:00 PM","CKB 219","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51058","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE210","CONSTRN MATRLS & PROCDRS","141","51058","","TBA"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51058","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE260","CIVIL ENGINEERNG METHODS","141","51264","F","6:00 PM - 9:00 PM"," ","Open","30","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51264","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE260","CIVIL ENGINEERNG METHODS","141","51264","S","1:00 PM - 4:00 PM"," ","Open","30","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51264","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE320","FLUID MECHANICS","131","51329","MF","6:00 PM - 9:00 PM"," ","Open","35","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51329","Full Summer Session (05/22/2023-08/08/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE320","FLUID MECHANICS","131","51329","","TBA"," ","Open","35","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51329","Full Summer Session (05/22/2023-08/08/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE321","WATER RESOURCES ENGR","141","50790","S","9:00 AM - 3:00 PM"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50790","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE321","WATER RESOURCES ENGR","141","50790","","TBA"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50790","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE332","STRUCTURAL ANALYSIS","141","50970","TR","6:00 PM - 9:00 PM"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50970","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE332","STRUCTURAL ANALYSIS","141","50970","","TBA"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50970","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE332","STRUCTURAL ANALYSIS","142","50969","S","9:00 AM - 3:00 PM"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50969","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE332","STRUCTURAL ANALYSIS","142","50969","","TBA"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50969","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE333","REINFORCED CONCRETE DESIGN","141","50579","MW","6:00 PM - 9:00 PM"," ","Open","30","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50579","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE333","REINFORCED CONCRETE DESIGN","141","50579","","TBA"," ","Open","30","0","","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50579","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE341","SOIL MECHANICS","141","50523","TR","6:00 PM - 9:00 PM"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50523","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
"202350","CE341","SOIL MECHANICS","141","50523","","TBA"," ","Open","30","0","","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50523","Middle Summer Session (05/22/2023-07/17/2023)<br />Hybrid Course<br />See syllabus for all meeting times"
