"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202350","CHEM125","GENERAL CHEMISTRY I","111","51455","MTW","6:00 PM - 9:00 PM"," ","Open","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51455","First Summer Session (05/22/2023-06/26/2023)"
"202350","CHEM125A","GENERAL CHEMISTRY  LAB I","011","51043","MTR","1:00 PM - 4:00 PM"," ","Open","32","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51043","First Summer Session (05/22/2023-06/26/2023)"
"202350","CHEM126","GEN CHEMISTRY II","121","50252","MTR","6:00 PM - 9:00 PM"," ","Open","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50252","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHEM126A","GEN CHEMISTRY LAB II","021","51044","MTR","1:00 PM - 4:00 PM","TIER 204","Open","20","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51044","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHEM243","ORGANIC CHEMISTRY I","141","50056","MW","6:00 PM - 9:00 PM","TIER 111","Open","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50056","Middle Summer Session (05/22/2023-07/17/2023)"
"202350","CHEM244","ORGANIC CHEMISTRY II","141","50591","TR","6:00 PM - 9:00 PM","TIER 111","Open","39","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50591","Middle Summer Session (05/22/2023-07/17/2023)"
"202350","CHEM244A","ORGANIC CHEMISTRY I LAB","021","51475","MTWR","1:00 PM - 4:00 PM","TIER 207","Open","20","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51475","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHEM339","ANALY/PHY CHM LAB FOR CHM ENG","141","50891","MW","6:00 PM - 10:00 PM","TIER 208","Open","15","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50891","Middle Summer Session (05/22/2023-07/17/2023)"
"202350","CHEM491","RESEARCH & INDEP STUDY I","130","50057","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50057","FULL SUMMER SESSION (5/18/20-8/3/20)"
"202350","CHEM491","RESEARCH & INDEP STUDY I","143","50285","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50285","FULL SUMMER SESSION (5/18/20-8/3/20)"
"202350","CHEM491","RESEARCH & INDEP STUDY I","156","50483","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50483","SECOND SUMMER SESSION (6/29/20-8/3/20)"
"202350","CHEM491","RESEARCH & INDEP STUDY I","158","50058","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50058","SECOND SUMMER SESSION (6/29/20-8/3/20)"
"202350","CHEM492","RESEARCH & INDEP STUDY","130","50279","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50279","FULL SUMMER SESSION (5/18/20-8/3/20)"
"202350","CHEM590","GRADUATE CO-OP WORK EXPER I","084","50760","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50760","Second Summer Session"
"202350","CHEM590","GRADUATE CO-OP WORK EXPER I","130","50854","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50854","FULL SUMMER SESSION"
"202350","CHEM590","GRADUATE CO-OP WORK EXPER I","142","50812","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50812","FULL SUMMER SESSION"
"202350","CHEM590","GRADUATE CO-OP WORK EXPER I","153","50855","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50855","FULL SUMMER SESSION"
"202350","CHEM590","GRADUATE CO-OP WORK EXPER I","156","50747","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50747","FULL SUMMER SESSION"
"202350","CHEM591","GRADUATE CO-OP WORK EXPER II","130","50937","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50937","FULL SUMMER SESSION"
"202350","CHEM591","GRADUATE CO-OP WORK EXPER II","142","51386","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51386",""
"202350","CHEM592","GRADUATE CO-OP WORK EXPER III","130","50856","","TBA"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50856","FULL SUMMER SESSION"
"202350","CHEM595","PRACT IN CELL & GENE THER SCI","142","51194","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51194",""
"202350","CHEM673","BIOCHEMISTRY","121","51413","MTR","6:00 PM - 9:00 PM","CKB 114","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51413","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHEM700B","MASTERS PROJECT","132","51229","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51229",""
"202350","CHEM700B","MASTERS PROJECT","136","50290","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50290","FULL SUMMER SESSION"
"202350","CHEM700B","MASTERS PROJECT","143","50291","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50291","FULL SUMMER SESSION"
"202350","CHEM700B","MASTERS PROJECT","147","50061","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50061","FULL SUMMER SESSION"
"202350","CHEM700B","MASTERS PROJECT","156","50405","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50405","FULL SUMMER SESSION"
"202350","CHEM701B","MASTERS THESIS","130","50448","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50448","FULL SUMMER SESSION		"
"202350","CHEM701B","MASTERS THESIS","132","51221","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51221",""
"202350","CHEM701B","MASTERS THESIS","156","50398","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50398","FULL SUMMER SESSION		"
"202350","CHEM725","INDEPENDENT STUDY I","130","50425","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50425","SECOND SUMMER SESSION"
"202350","CHEM725","INDEPENDENT STUDY I","142","51210","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51210",""
"202350","CHEM725","INDEPENDENT STUDY I","143","50748","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50748","FULL SUMMER SESSION"
"202350","CHEM725","INDEPENDENT STUDY I","147","50059","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50059","FULL SUMMER SESSION<br />Department approval required."
"202350","CHEM725","INDEPENDENT STUDY I","155","50060","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50060","FULL SUMMER SESSION"
