"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202350","CHE210","CHEMCL PROC CALCULATIONS I","011","50825","MWR","1:00 PM - 4:00 PM"," ","Open","30","0","Cimino, Richard","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50825","First Summer Session (05/22/2023-06/26/2023)"
"202350","CHE230","CHEM ENGINEER THERMODYNAMICS I","011","51476","MTWR","9:00 AM - 12:00 PM"," ","Open","30","0","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=51476","First Summer Session (05/22/2023-06/26/2023)"
"202350","CHE240","CHEMICAL PROCESS CALCULATIONII","021","50785","MWR","1:00 PM - 4:00 PM"," ","Open","30","0","Cimino, Richard","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50785","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHE260","FLUID FLOW","021","50885","MTWR","9:00 AM - 12:00 PM"," ","Open","30","0","Reid, Nellone","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50885","Second Summer Session (07/05/2023-08/08/2023)"
"202350","CHE491","RESEARCH & INDEP STUDY","071","50898","","TBA"," ","Closed","0","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50898","FULL SUMMER SESSION"
"202350","CHE491","RESEARCH & INDEP STUDY","082","50899","","TBA"," ","Closed","0","0","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50899","FULL SUMMER SESSION"
"202350","CHE491","RESEARCH & INDEP STUDY","088","50900","","TBA"," ","Closed","0","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50900","FULL SUMMER SESSION"
"202350","CHE491","RESEARCH & INDEP STUDY","091","50901","","TBA"," ","Closed","0","0","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50901","FULL SUMMER SESSION"
"202350","CHE491","RESEARCH & INDEP STUDY","093","50902","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50902","FULL SUMMER SESSION"
"202350","CHE491","RESEARCH & INDEP STUDY","111","50903","","TBA"," ","Closed","0","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2023 Summer&crn-1=50903","FULL SUMMER SESSION"
